complex_disease	mesh_term	mesh_code
Acne	Acneiform Eruptions	D017486
Acne	Acne Vulgaris	D000152
Acne	Acne Conglobata	D000069316
Acne	Acne Keloid	D000153
Acquired Hypothyroidism	Hypothyroidism	D007037
Acquired Hypothyroidism	Myxedema	D009230
Acquired Hypothyroidism	"Goiter, Endemic"	D006043
Acute Glomerulonephritis	Nephrotic Syndrome	D009404
Acute Myocardial Infarction	Myocardial Infarction	D009203
Acute Myocardial Infarction	Anterior Wall Myocardial Infarction	D056988
Acute Myocardial Infarction	Inferior Wall Myocardial Infarction	D056989
Acute Myocardial Infarction	Non-ST Elevated Myocardial Infarction	D000072658
Acute Myocardial Infarction	ST Elevation Myocardial Infarction	D000072657
Acute Myocardial Infarction	MINOCA	D000088442
Acute Myocardial Infarction	Coronary Thrombosis	D003328
Acute Myocardial Infarction	Coronary Occlusion	D054059
Addisons Disease	Addison Disease	D000224
Addisons Disease	"Hypoadrenocorticism, Familial"	D000075262
Alopecia Areata	Alopecia Areata	D000506
Alopecia Areata	Alopecia	D000505
Alzheimers Disease	Alzheimer Disease	D000544
Anxiety	Anxiety	D001007
Anxiety	Anxiety Disorders	D001008
Anxiety	"Anxiety, Separation"	D001010
Anxiety	Dental Anxiety	D016854
Anxiety	Performance Anxiety	D060805
Anxiety	Test Anxiety	D000083563
Anxiety	Panic	D010200
Anxiety	Panic Disorder	D016584
Asthma	Asthma	D001249
Asthma	Status Asthmaticus	D013224
Asthma	"Asthma, Occupational"	D059366
Asthma	"Asthma, Exercise-Induced"	D001250
Asthma	Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome	D000080445
Autism	Autistic Disorder	D001321
Autism	Autism Spectrum Disorder	D000067877
Autism	Asperger Syndrome	D020817
Benign Brain Neoplasm	Brain Neoplasms	D001932
Benign Brain Neoplasm	Supratentorial Neoplasms	D015173
Benign Brain Neoplasm	Cerebral Ventricle Neoplasms	D002551
Benign Brain Neoplasm	Cerebellar Neoplasms	D002528
Benign Brain Neoplasm	Infratentorial Neoplasms	D015192
Benign Brain Neoplasm	Neurocytoma	D018306
Benign Brain Neoplasm	Choroid Plexus Neoplasms	D016545
Benign Brain Neoplasm	Brain Stem Neoplasms	D020295
Benign Brain Neoplasm	Hypothalamic Neoplasms	D007029
Benign Brain Neoplasm	Spinal Cord Neoplasms	D013120
Benign Brain Neoplasm	Central Nervous System Neoplasms	D016543
Bipolar Disorder	Bipolar Disorder	D001714
Bipolar Disorder	Bipolar and Related Disorders	D000068105
Bipolar Disorder	Mania	D000087122
Bladder Cancer	Urinary Bladder Neoplasms	D001749
Bladder Cancer	Non-Muscle Invasive Bladder Neoplasms	D000093284
Bronchitis	Bronchitis	D001991
Bronchitis	"Bronchitis, Chronic"	D029481
Burkitts Lymphoma	Burkitt Lymphoma	D002051
Cataract	Cataract	D002386
Celiac Disease	Celiac Disease	D002446
Cerebral Infarction	Cerebral Infarction	D002544
Cerebral Infarction	"Infarction, Anterior Cerebral Artery"	D020243
Cerebral Infarction	"Infarction, Middle Cerebral Artery"	D020244
Cerebral Infarction	"Infarction, Posterior Cerebral Artery"	D020762
Cerebral Infarction	Stroke	D020521
Colorectal Cancer	Colorectal Neoplasms	D015179
Colorectal Cancer	Adenomatous Polyposis Coli	D011125
Colorectal Cancer	Colonic Neoplasms	D003110
Colorectal Cancer	"Colorectal Neoplasms, Hereditary Nonpolyposis"	D003123
Colorectal Cancer	Rectal Neoplasms	D012004
Colorectal Cancer	Anus Neoplasms	D001005
Colorectal Cancer	Sigmoid Neoplasms	D012811
Colorectal Cancer	Colitis-Associated Neoplasms	D000083023
Colorectal Cancer	Anal Gland Neoplasms	D000694
Crohns Disease	Crohn Disease	D003424
Cushings Syndrome	Cushing Syndrome	D003480
Cushings Syndrome	Pituitary ACTH Hypersecretion	D047748
Deep Vein Thrombosis	Venous Thrombosis	D020246
Deep Vein Thrombosis	Upper Extremity Deep Vein Thrombosis	D056824
Deep Vein Thrombosis	Thrombophlebitis	D013924
Deep Vein Thrombosis	Budd-Chiari Syndrome	D006502
Deep Vein Thrombosis	Phlebitis	D010689
Deep Vein Thrombosis	Thrombosis	D013927
Depression	Depression	D003863
Depression	Depressive Disorder	D003866
Depression	"Depressive Disorder, Major"	D003865
Dermatitis Herpetiformis	Dermatitis Herpetiformis	D003874
Diabetes Insipidus	Diabetes Insipidus	D003919
Diabetes Mellitus Type 1	"Diabetes Mellitus, Type 1"	D003922
Diabetes Mellitus Type 1	Diabetic Ketoacidosis	D016883
Diabetes Mellitus Type 1	Diabetic Foot	D017719
Diabetes Mellitus Type 1	Diabetic Retinopathy	D003930
