drug_target	db_id	drug_name
F2	DB00001	Lepirudin
FCGR1A	DB00002	Cetuximab
EGFR	DB00002	Cetuximab
FCGR3B	DB00002	Cetuximab
C1QA	DB00002	Cetuximab
C1QB	DB00002	Cetuximab
C1QC	DB00002	Cetuximab
FCGR3A	DB00002	Cetuximab
FCGR2A	DB00002	Cetuximab
IL2RB	DB00004	Denileukin diftitox
IL2RA	DB00004	Denileukin diftitox
IL2RG	DB00004	Denileukin diftitox
TNF	DB00005	Etanercept
LTA	DB00005	Etanercept
FCGR2B	DB00005	Etanercept
FCGR2C	DB00005	Etanercept
C1QA	DB00005	Etanercept
C1QB	DB00005	Etanercept
C1QC	DB00005	Etanercept
FCGR1A	DB00005	Etanercept
FCGR3B	DB00005	Etanercept
FCGR3A	DB00005	Etanercept
FCGR2A	DB00005	Etanercept
F2	DB00006	Bivalirudin
GNRHR	DB00007	Leuprolide
IFNAR2	DB00008	Peginterferon alfa-2a
IFNAR1	DB00008	Peginterferon alfa-2a
PLG	DB00009	Alteplase
SERPINE1	DB00009	Alteplase
FGA	DB00009	Alteplase
PLAUR	DB00009	Alteplase
GHRHR	DB00010	Sermorelin
IFNAR2	DB00011	Interferon alfa-n1
IFNAR1	DB00011	Interferon alfa-n1
EPOR	DB00012	Darbepoetin alfa
LRP2	DB00013	Urokinase
SERPINB2	DB00013	Urokinase
ST14	DB00013	Urokinase
SERPINA5	DB00013	Urokinase
NID1	DB00013	Urokinase
PLG	DB00013	Urokinase
SERPINE1	DB00013	Urokinase
PLAUR	DB00013	Urokinase
LHCGR	DB00014	Goserelin
GNRHR	DB00014	Goserelin
FGA	DB00015	Reteplase
PLG	DB00015	Reteplase
SERPINE1	DB00015	Reteplase
EPOR	DB00016	Erythropoietin
CALCR	DB00017	Salmon calcitonin
IFNAR2	DB00018	Interferon alfa-n3
IFNAR1	DB00018	Interferon alfa-n3
CSF3R	DB00019	Pegfilgrastim
CSF2RA	DB00020	Sargramostim
IL3RA	DB00020	Sargramostim
PRG2	DB00020	Sargramostim
CSF2RB	DB00020	Sargramostim
SDC2	DB00020	Sargramostim
IFNAR2	DB00022	Peginterferon alfa-2b
IFNAR1	DB00022	Peginterferon alfa-2b
TSHR	DB00024	Thyrotropin alfa
