drugbank_id	Acne	Acquired Hypothyroidism	Acute Glomerulonephritis	Acute Myocardial Infarction	Addisons Disease	Alopecia Areata	Alzheimers Disease	Anxiety	Asthma	Autism	Benign Brain Neoplasm	Bipolar Disorder	Bladder Cancer	Bronchitis	Burkitts Lymphoma	Cataract	Celiac Disease	Cerebral Infarction	Colorectal Cancer	Crohns Disease	Cushings Syndrome	Deep Vein Thrombosis	Depression	Dermatitis Herpetiformis	Diabetes Insipidus	Diabetes Mellitus Type 1	Diabetes Mellitus Type 2	Eczema	Emphysema	Epilepsy	Female Breast Cancer	Gastric Cancer	General Frontotemporal Dementia	Glaucoma	Gout	Hyperplasia of the Prostate	Hypotony of the Eye	Intellectual Disability	Kawasaki Disease	Kidney Cancer	Liche	Lung Cancer	Lupus	Lymphosarcoma/Reticulorsarcoma	Malignant Brain Neoplasm	Melanoma	Migraine	Non-Specific Endophthalmitis	Obsessive Compulsive Disorder	Osteoarthritis	Parkinsonism	Phobia	Picks Disease	Prostate Cancer	Psoriasis	Pulmonary Embolism and Infarction	Purulent Endophthalmitis	Rheumatoid Arthritis	Rosacea	Sarcoidosis	Schizophrenia	Skin Cyst	Sleep Disorder	Unspecified Viral Infection (Common Cold)	Uterine Cancer
DB00001																						4																				1.5																							
DB00002											2		2						5												2	3								1		3			2									2											2
DB00003														5																																																			
DB00004																															1.5									2		1				2																			1
DB00005				4			2		2																	3									4				2		2	2.5	2			4				4				2.5	5			5							
DB00006				4																		4																																											
DB00007							2																2								5					5							3			2								5									4		5
DB00008											5								5				3								2														5	5																		4	
DB00009				5										2				5				4																				2														5									
DB00012				3														2	4							0	0				3											3		3										2.5											
DB00013				5																		5																																		5									
DB00014																							0								4																							5							0				
DB00015				5														3				3																																											
DB00016				4								2						2.5	3	0		4	2			4	4				4	3										3								4	1			3				2						3	
DB00017		4																		0					0																						4			3															
DB00020							2				2		3		2				2	3											5	2								2		2		3	2	4					1			3				1						1	2
DB00022											5								5																					2					5	5																		3	
DB00023																															2.5																																		
DB00026				3															2							2.5	4	3			1				2.5				3					2						4				1	2			5		2				2.5	
DB00028			2.5	3			3	3		4	2							1		1.5		2				2		2.5		3	2								4				2	3	1				3												3			4	
DB00029				5																																																				5									
DB00030				4			2.5		3		1	3						4					3			5	5				0		2	1											1						2		2								4				
DB00031				5														4				3																																		4									
DB00033											5								5																										5	5																			
DB00034							2				5		1						5												2									3		2			5	5		3						2	1									3	
DB00035																		2	2			1			3						2																				4			1											
