drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB00001	1.5	4				
DB00002	4					
DB00003						
DB00004	2					
DB00005	4	4	3	4	2	
DB00006		4				
DB00007	4			3	4	
DB00008	3			4	3	
DB00009	2	4		2		
DB00012	4	3	0			
DB00013						
DB00014	4				0	
DB00015		4				
DB00016	4	4	4	4	2	
DB00017			4	3	4	
DB00020	4			3	2	
DB00022	3			3		
DB00023	2.5					
DB00026	2	3	4	4		
DB00028	3	3	2	4	4	
DB00029						
DB00030	1	4	4	3	4	1
DB00031		4				
DB00033						
DB00034	3			3	2	3
DB00035	2	2	3		4	
DB00038	2			2		
DB00040	4	2	4	1	1	
DB00041	4		1.5	3	2	
DB00042		2.5			2	
DB00043	2			4	1	
DB00046		4	4	2	0	
DB00047		4	4			
DB00049	2			4		
DB00050	3		0	2		
DB00051	1		4	4		4
DB00054		4				
DB00055		2				
DB00058		1.5	2	4		
DB00060		1		3	2	
DB00063		4				
DB00065	3		3	4	4	1.5
DB00066	2					
DB00067			4		2.5	
DB00068				2.5		
DB00069						
DB00071			2			
DB00072	4			2		
DB00073	4	1.5	4	4	4	
DB00074			4	3		
DB00075	2		3	2		
DB00080			4			
DB00081	3					
DB00083	4	4	2	4	4	
DB00085			4	4		
DB00086		4		4		
DB00087	2		2	2	2	
DB00091	3	3	4	4		4
DB00092			2	4		
DB00095						
DB00098	2		2	2.5		
DB00102			3			
DB00104	3		3		1.5	
DB00105	3			3	2	3
DB00106	4					
DB00107	2	2.5	1	2.5	4	
DB00108		2		4	2	
DB00110				3		
DB00111	1.5		3	2		
DB00112	4		4	2		4
DB00114	3		2			
DB00115	3	3	2.5	4	3	
DB00120						
DB00121	1	3	0			
DB00122	3	4	4		4	
DB00126	3		4	4	2	3
DB00136	3		4	4		
DB00140		2		3		
DB00145	1.5			4	3	
DB00146	1	3		4		
DB00147		4	2		3	
DB00150	3		0	0	4	
DB00151						
DB00152			2	3	1.5	0
DB00153	3		4	4	3	
DB00158	3	4	4	4	4	
DB00162	2		4	2		0
DB00163	3	3	2.5	2	4	3
DB00165	3	4		1.5	4	
DB00166	1.5	3	4		4	
DB00169	3	4	4	4	4	
DB00175	4	4	4	2	4	
DB00176				2	4	
DB00177	4	4	4	4	4	
DB00178	3	4	4	4	4	
DB00179	2					
DB00180				1.5		
DB00181				1	2	
DB00182		2			4	
DB00184	4			1.5	4	
DB00186					4	
DB00187	3	3	3			
DB00188	3			4		
DB00189						
DB00190		4	1	1	4	
DB00191			4			
DB00193	4		4	4	4	0
DB00194	3					
DB00195						3
DB00196	1			2	1	
DB00197			2			
DB00198		4		2		
DB00199	4		4	4	0	
DB00200	3	3	2.5	4	3	
DB00201	2		4	4	4	
DB00202		3			4	
DB00203	4	1	4	4	4	3
DB00205					3	
DB00206			3			
DB00207	4	3	3	4	2	4
DB00208		4				
DB00209					3	
DB00210			4			
DB00211		2			1	
DB00213	2	4	4	0	2.5	
DB00214			1			
DB00215	3	4		4	4	
DB00216					4	
DB00218	3		4	4	2	4
DB00220	2			2		
DB00221						
DB00222			4			
DB00223						
DB00224	2					
DB00227	2	2		2	2	
DB00228						
DB00230	3			4	4	2
DB00231					4	
DB00233	2			2		
DB00234		4			4	
DB00235		2				
DB00237						
DB00238				2		
DB00240	2			2		
DB00242	3					
DB00243	0		4	2		
DB00244	2			4		
DB00245				2	4	
DB00246			0		4	
DB00248	4		4		4	
DB00250	2	3	4	4		
DB00252				4	4	
DB00253						
DB00254	2	3	4	4	3	
DB00255	3					
DB00256			4			
DB00257		2		4		
DB00260	3	2			4	
DB00262	3					
DB00264	3	4	4	1	4	
DB00265						
DB00266						
DB00268		2			4	
DB00269		4				
DB00270					3	
DB00273			4		4	4
DB00274	3					
DB00275		4	4	4		
DB00277	1			4	1	
DB00278		4				
DB00279						
DB00281	4	3	4	4	4	4
DB00282	4					
DB00283				3		
DB00284	2		4			
DB00285	3			4	4	
DB00286	3	3		4	4	
DB00287						4
DB00288						
DB00289					4	
DB00290	3					
DB00291	3					
DB00292		3			4	
DB00293	4					
DB00294	2					
DB00295	4	4		4	4	
DB00296	4		4	4	4	0
DB00297	4		0	4	4	2.5
DB00300	4			4		
DB00302	4	4	2.5	4		
DB00303	4		3			
DB00304			4			
DB00305	4			2.5		4
DB00306						
DB00307	3		1.5	2.5	3	
DB00309	4					
DB00310		3	3	4		
DB00312						
DB00313	2	1		4	4	
DB00315					4	
DB00316	4	4	4	4	4	1
DB00317	4		2			
DB00318				4	1	
DB00319			4	0		
DB00320					4	
DB00321			2	2	4	
DB00322	3					
DB00323					4	
DB00324				4		3
DB00325		4	0		2	0
DB00327	4			3	4	
DB00328	4		0	4	3	4
DB00330				2		
DB00331	4	4	4	4	4	3
DB00332				4	2	
DB00333	4				2	
DB00334	4		0		4	
DB00335	4	4	4		2	
DB00337				4		
DB00338	3	3	4	4	4	1
DB00340						
DB00341	3		4	4	1	
DB00343	1	4	3	4		
DB00344					0	
DB00346	4					
DB00347						
DB00349					4	
DB00350	1			4		
DB00351	3					
DB00352	3					
DB00356			4	4		
DB00357	3					
DB00358					1	
DB00359	0			0		
DB00361	4					
DB00363					4	
DB00366						
DB00367	2.5		1	1	4	
DB00368		4		1	4	
DB00369	2					
DB00370	2			0	4	
DB00371						
DB00372					2	
DB00373			3	1	2	4
DB00374			1.5	2.5		
