cancer	mendelian_disease	adj_pvalue_threshold	genetic_similarity	comorbidity
Bladder Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.381619169446503	0	1
Female Breast Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.20292693414704	0	1
Colorectal Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.407201887742059	0	1
Gastric Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.223443021480536	0	1
Kidney Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.350404181123138	0	1
Lung Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.220552190247027	0	1
Malignant Brain Neoplasm	Cerebral Degeneration Due to Generalized Lipidoses	0.318711129272935	0	1
Melanoma	Cerebral Degeneration Due to Generalized Lipidoses	0.260021903748819	0	1
Prostate Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.259246927485019	0	1
Uterine Cancer	Cerebral Degeneration Due to Generalized Lipidoses	0.289842698378297	0	1
Bladder Cancer	Chronic Granulomatous Disease	0.00268999486452796	1	1
Female Breast Cancer	Chronic Granulomatous Disease	0.0044316235829119	1	1
Colorectal Cancer	Chronic Granulomatous Disease	0.00248280859717256	1	1
Gastric Cancer	Chronic Granulomatous Disease	0.0020881405292006	1	1
Kidney Cancer	Chronic Granulomatous Disease	0.00216314557198342	1	1
Lung Cancer	Chronic Granulomatous Disease	0.00245646264428708	1	1
Malignant Brain Neoplasm	Chronic Granulomatous Disease	0.00203246165761039	1	1
Melanoma	Chronic Granulomatous Disease	0.00371698551192482	1	1
Prostate Cancer	Chronic Granulomatous Disease	0.00280701760835014	1	1
Uterine Cancer	Chronic Granulomatous Disease	0.00364538078360872	1	1
Bladder Cancer	Circulating Enzyme Deficiencies	0.205544149227808	0	1
Female Breast Cancer	Circulating Enzyme Deficiencies	0.224207201803051	0	1
Colorectal Cancer	Circulating Enzyme Deficiencies	0.25475793401247	0	1
Gastric Cancer	Circulating Enzyme Deficiencies	0.243420352829044	0	0
Kidney Cancer	Circulating Enzyme Deficiencies	0.19803230860224	0	0
Lung Cancer	Circulating Enzyme Deficiencies	0.194612596276989	0	1
Malignant Brain Neoplasm	Circulating Enzyme Deficiencies	0.26040271677261	0	0
Melanoma	Circulating Enzyme Deficiencies	0.142569951190054	0	1
Prostate Cancer	Circulating Enzyme Deficiencies	0.191429208542154	0	1
Uterine Cancer	Circulating Enzyme Deficiencies	0.220523287226596	0	0
Bladder Cancer	Combined Heart and Skeletal Defects	0.307762652351091	0	1
Female Breast Cancer	Combined Heart and Skeletal Defects	0.291352598297261	0	1
Colorectal Cancer	Combined Heart and Skeletal Defects	0.271991824725274	0	1
Gastric Cancer	Combined Heart and Skeletal Defects	0.272524092192424	0	1
Kidney Cancer	Combined Heart and Skeletal Defects	0.202166219445438	0	1
Lung Cancer	Combined Heart and Skeletal Defects	0.299718167723703	0	1
Malignant Brain Neoplasm	Combined Heart and Skeletal Defects	0.304560071899514	0	1
Melanoma	Combined Heart and Skeletal Defects	0.264316579398206	0	1
Prostate Cancer	Combined Heart and Skeletal Defects	0.272730754280162	0	0
Uterine Cancer	Combined Heart and Skeletal Defects	0.314152635383785	0	1
Bladder Cancer	Congenital Ichthyosis	1.06128029844118e-06	1	1
Female Breast Cancer	Congenital Ichthyosis	1.55887923099596e-06	1	1
Colorectal Cancer	Congenital Ichthyosis	2.84199621289357e-06	1	0
Gastric Cancer	Congenital Ichthyosis	2.14213501244397e-06	1	0
Kidney Cancer	Congenital Ichthyosis	2.39206267693415e-05	1	1
Lung Cancer	Congenital Ichthyosis	1.64255480693258e-06	1	1
Malignant Brain Neoplasm	Congenital Ichthyosis	1.13626490081363e-06	1	1
Melanoma	Congenital Ichthyosis	9.43565704569287e-07	1	1
Prostate Cancer	Congenital Ichthyosis	1.53120575726679e-06	1	1
Uterine Cancer	Congenital Ichthyosis	1.23041470273545e-06	1	0
Bladder Cancer	Degenerative Diseases of the Basal Ganglia	0.970708852082138	0	1
Female Breast Cancer	Degenerative Diseases of the Basal Ganglia	0.984293141199696	0	1
Colorectal Cancer	Degenerative Diseases of the Basal Ganglia	0.987719404263949	0	1
Gastric Cancer	Degenerative Diseases of the Basal Ganglia	0.983863477626253	0	0
