mendelian_disease	cancer	pvalue_onesided	comorbidity	genetic_similarity
Cerebral Degeneration Due to Generalized Lipidoses	Bladder Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Female Breast Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Colorectal Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Gastric Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Kidney Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Lung Cancer	0.0836649389739347	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Malignant Brain Neoplasm	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Melanoma	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Prostate Cancer	1	1	0
Cerebral Degeneration Due to Generalized Lipidoses	Uterine Cancer	1	1	0
Chronic Granulomatous Disease	Bladder Cancer	1	1	0
Chronic Granulomatous Disease	Female Breast Cancer	0.110582708720214	1	0
Chronic Granulomatous Disease	Colorectal Cancer	1	1	0
Chronic Granulomatous Disease	Gastric Cancer	1	1	0
Chronic Granulomatous Disease	Kidney Cancer	1	1	0
Chronic Granulomatous Disease	Lung Cancer	1	1	0
Chronic Granulomatous Disease	Malignant Brain Neoplasm	1	1	0
Chronic Granulomatous Disease	Melanoma	1	1	0
Chronic Granulomatous Disease	Prostate Cancer	1	1	0
Chronic Granulomatous Disease	Uterine Cancer	1	1	0
Circulating Enzyme Deficiencies	Bladder Cancer	1	1	0
Circulating Enzyme Deficiencies	Female Breast Cancer	1	1	0
Circulating Enzyme Deficiencies	Colorectal Cancer	1	1	0
Circulating Enzyme Deficiencies	Gastric Cancer	1	0	0
Circulating Enzyme Deficiencies	Kidney Cancer	1	0	0
Circulating Enzyme Deficiencies	Lung Cancer	1	1	0
Circulating Enzyme Deficiencies	Malignant Brain Neoplasm	1	0	0
Circulating Enzyme Deficiencies	Melanoma	1	1	0
Circulating Enzyme Deficiencies	Prostate Cancer	1	1	0
Circulating Enzyme Deficiencies	Uterine Cancer	1	0	0
Combined Heart and Skeletal Defects	Bladder Cancer	0.000873821540828231	1	1
Combined Heart and Skeletal Defects	Female Breast Cancer	1	1	0
Combined Heart and Skeletal Defects	Colorectal Cancer	0.0135654683527447	1	1
Combined Heart and Skeletal Defects	Gastric Cancer	1	1	0
Combined Heart and Skeletal Defects	Kidney Cancer	1	1	0
Combined Heart and Skeletal Defects	Lung Cancer	1	1	0
Combined Heart and Skeletal Defects	Malignant Brain Neoplasm	1	1	0
Combined Heart and Skeletal Defects	Melanoma	0.0250297260274481	1	1
Combined Heart and Skeletal Defects	Prostate Cancer	1	0	0
Combined Heart and Skeletal Defects	Uterine Cancer	0.00281056853547367	1	1
Congenital Ichthyosis	Bladder Cancer	1	1	0
Congenital Ichthyosis	Female Breast Cancer	1	1	0
Congenital Ichthyosis	Colorectal Cancer	0.604603424749546	0	0
Congenital Ichthyosis	Gastric Cancer	1	0	0
Congenital Ichthyosis	Kidney Cancer	1	1	0
Congenital Ichthyosis	Lung Cancer	1	1	0
Congenital Ichthyosis	Malignant Brain Neoplasm	1	1	0
Congenital Ichthyosis	Melanoma	1	1	0
Congenital Ichthyosis	Prostate Cancer	1	1	0
Congenital Ichthyosis	Uterine Cancer	0.33560443699015	0	0
Degenerative Diseases of the Basal Ganglia	Bladder Cancer	0.0670136318264715	1	0
Degenerative Diseases of the Basal Ganglia	Female Breast Cancer	1	1	0
Degenerative Diseases of the Basal Ganglia	Colorectal Cancer	0.248307586638447	1	0
Degenerative Diseases of the Basal Ganglia	Gastric Cancer	1	0	0
Degenerative Diseases of the Basal Ganglia	Kidney Cancer	1	1	0
Degenerative Diseases of the Basal Ganglia	Lung Cancer	0.0836649389739347	1	0
Degenerative Diseases of the Basal Ganglia	Malignant Brain Neoplasm	0.0622712755759338	1	0
Degenerative Diseases of the Basal Ganglia	Melanoma	1	1	0
Degenerative Diseases of the Basal Ganglia	Prostate Cancer	1	1	0
Degenerative Diseases of the Basal Ganglia	Uterine Cancer	0.118189950809366	1	0
Diamond-Blackfan Anemia	Bladder Cancer	0.144518659553633	1	0
Diamond-Blackfan Anemia	Female Breast Cancer	1	1	0
Diamond-Blackfan Anemia	Colorectal Cancer	1	0	0
Diamond-Blackfan Anemia	Gastric Cancer	1	0	0
Diamond-Blackfan Anemia	Kidney Cancer	1	0	0
Diamond-Blackfan Anemia	Lung Cancer	1	1	0
Diamond-Blackfan Anemia	Malignant Brain Neoplasm	0.134702362170189	1	0
Diamond-Blackfan Anemia	Melanoma	1	0	0
Diamond-Blackfan Anemia	Prostate Cancer	1	0	0
Diamond-Blackfan Anemia	Uterine Cancer	1	1	0
Disorders of Phosphorous Metabolism	Bladder Cancer	1	1	0
Disorders of Phosphorous Metabolism	Female Breast Cancer	1	1	0
Disorders of Phosphorous Metabolism	Colorectal Cancer	0.0789339038311643	1	0
Disorders of Phosphorous Metabolism	Gastric Cancer	0.0507024867451321	1	0
Disorders of Phosphorous Metabolism	Kidney Cancer	1	1	0
Disorders of Phosphorous Metabolism	Lung Cancer	0.14179745000856	1	0
Disorders of Phosphorous Metabolism	Malignant Brain Neoplasm	1	1	0
Disorders of Phosphorous Metabolism	Melanoma	0.0574366966583688	1	0
Disorders of Phosphorous Metabolism	Prostate Cancer	1	1	0
Disorders of Phosphorous Metabolism	Uterine Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Bladder Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Female Breast Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Colorectal Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Gastric Cancer	0.357590163871594	1	0
Disorders of Straight Chain Amino Acid Metabolism	Kidney Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Lung Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Malignant Brain Neoplasm	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Melanoma	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Prostate Cancer	1	1	0
Disorders of Straight Chain Amino Acid Metabolism	Uterine Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Bladder Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Female Breast Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Colorectal Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Gastric Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Kidney Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Lung Cancer	1	1	0
Disorders of Urea Cycle Metabolism	Malignant Brain Neoplasm	1	1	0
Disorders of Urea Cycle Metabolism	Melanoma	1	0	0
Disorders of Urea Cycle Metabolism	Prostate Cancer	1	0	0
Disorders of Urea Cycle Metabolism	Uterine Cancer	1	0	0
Dopa-Responsive Dystonia	Bladder Cancer	1	1	0
Dopa-Responsive Dystonia	Female Breast Cancer	1	1	0
Dopa-Responsive Dystonia	Colorectal Cancer	0.0135654683527447	1	1
Dopa-Responsive Dystonia	Gastric Cancer	1	0	0
Dopa-Responsive Dystonia	Kidney Cancer	1	1	0
Dopa-Responsive Dystonia	Lung Cancer	1	1	0
Dopa-Responsive Dystonia	Malignant Brain Neoplasm	1	1	0
Dopa-Responsive Dystonia	Melanoma	1	1	0
Dopa-Responsive Dystonia	Prostate Cancer	1	1	0
Dopa-Responsive Dystonia	Uterine Cancer	1	0	0
Genetic Anomalies of Leukocytes	Bladder Cancer	1	1	0
Genetic Anomalies of Leukocytes	Female Breast Cancer	1	1	0
Genetic Anomalies of Leukocytes	Colorectal Cancer	1	1	0
Genetic Anomalies of Leukocytes	Gastric Cancer	1	1	0
Genetic Anomalies of Leukocytes	Kidney Cancer	1	1	0
Genetic Anomalies of Leukocytes	Lung Cancer	1	1	0
Genetic Anomalies of Leukocytes	Malignant Brain Neoplasm	0.0470755659745514	1	1
Genetic Anomalies of Leukocytes	Melanoma	1	1	0
Genetic Anomalies of Leukocytes	Prostate Cancer	1	1	0
Genetic Anomalies of Leukocytes	Uterine Cancer	1	1	0
Glycogenosis	Bladder Cancer	1	1	0
Glycogenosis	Female Breast Cancer	1	0	0
Glycogenosis	Colorectal Cancer	0.510164393135653	1	0
Glycogenosis	Gastric Cancer	1	0	0
Glycogenosis	Kidney Cancer	1	0	0
Glycogenosis	Lung Cancer	0.196250322369974	0	0
Glycogenosis	Malignant Brain Neoplasm	1	0	0
Glycogenosis	Melanoma	1	0	0
Glycogenosis	Prostate Cancer	1	1	0
Glycogenosis	Uterine Cancer	1	0	0
Haemophilia	Bladder Cancer	1	1	0
Haemophilia	Female Breast Cancer	1	1	0
Haemophilia	Colorectal Cancer	0.192704320984234	1	0
Haemophilia	Gastric Cancer	1	1	0
Haemophilia	Kidney Cancer	1	1	0
Haemophilia	Lung Cancer	1	1	0
Haemophilia	Malignant Brain Neoplasm	1	1	0
Haemophilia	Melanoma	1	1	0
Haemophilia	Prostate Cancer	1	1	0
Haemophilia	Uterine Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Bladder Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Female Breast Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Colorectal Cancer	0.192704320984234	1	0
Hereditary Hemorrhagic Telangiectasia	Gastric Cancer	0.152891205252324	0	0
Hereditary Hemorrhagic Telangiectasia	Kidney Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Lung Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Malignant Brain Neoplasm	1	1	0
Hereditary Hemorrhagic Telangiectasia	Melanoma	1	1	0
Hereditary Hemorrhagic Telangiectasia	Prostate Cancer	1	1	0
Hereditary Hemorrhagic Telangiectasia	Uterine Cancer	1	1	0
Hereditary Sensory Neuropathy	Bladder Cancer	0.395421433880739	1	0
Hereditary Sensory Neuropathy	Female Breast Cancer	1	1	0
Hereditary Sensory Neuropathy	Colorectal Cancer	0.873908494079432	1	0
Hereditary Sensory Neuropathy	Gastric Cancer	0.467359928335213	1	0
Hereditary Sensory Neuropathy	Kidney Cancer	1	1	0
Hereditary Sensory Neuropathy	Lung Cancer	1	1	0
Hereditary Sensory Neuropathy	Malignant Brain Neoplasm	1	1	0
Hereditary Sensory Neuropathy	Melanoma	1	1	0
Hereditary Sensory Neuropathy	Prostate Cancer	1	1	0
Hereditary Sensory Neuropathy	Uterine Cancer	0.225988661693249	1	0
Hypopituitarism	Bladder Cancer	1	1	0
Hypopituitarism	Female Breast Cancer	1	1	0
Hypopituitarism	Colorectal Cancer	0.0165499403080184	1	1
Hypopituitarism	Gastric Cancer	1	0	0
Hypopituitarism	Kidney Cancer	0.0598271416529913	1	0
Hypopituitarism	Lung Cancer	0.279452650104212	1	0
Hypopituitarism	Malignant Brain Neoplasm	0.21429520086241	1	0
Hypopituitarism	Melanoma	1	1	0
Hypopituitarism	Prostate Cancer	0.241232378908715	1	0
Hypopituitarism	Uterine Cancer	0.376125921859899	0	0
Inherited Anomalies of the Skin	Bladder Cancer	0.201873688291542	1	0
Inherited Anomalies of the Skin	Female Breast Cancer	1	1	0
