complex_disease	mendelian_disease	comorbidity
Acne	Androgen Insensitivity Syndrome	1
Acne	Anophthalmos/Micropthalmos	1
Acne	Autoimmune Lymphoproliferative Syndrome	1
Acne	Autoimmune Polyglandular Syndrome	1
Acne	Cerebral Degeneration Due to Generalized Lipidoses	1
Acne	Cerebral Lipidoses	1
Acne	Chondrodystrophy	1
Acne	Circulating Enzyme Deficiencies	1
Acne	Combined Heart and Skeletal Defects	1
Acne	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Acne	Congenital Ectodermal Dysplasia	1
Acne	Congenital Hydrocephalus	1
Acne	Congenital Hypogammaglobulinemia	1
Acne	Congenital Ichthyosis	1
Acne	Congenital Pigmentary Anomalies	1
Acne	Cystic Fibrosis	1
Acne	Disorders of Aromatic Amino Acid Metabolism	1
Acne	Disorders of Branched Chain Amino Acid Metabolism	1
Acne	Disorders of Copper Metabolism	1
Acne	Disorders of Phosphorous Metabolism	1
Acne	Dopa-Responsive Dystonia	1
Acne	Erythromelalgia	1
Acne	Facial and Skull Anomalies	1
Acne	Familial Dysautonomia	1
Acne	Fragile-X Syndrome	1
Acne	Genetic Anomalies of Leukocytes	1
Acne	Glycogenosis	1
Acne	Haemophilia	1
Acne	Hereditary Color Blindness	1
Acne	Hereditary Hemorrhagic Telangiectasia	1
Acne	Hereditary Muscular Dystrophy	1
Acne	Holoprosencephaly	1
Acne	Hypopituitarism	1
Acne	Immunodeficiency with Increased IgM	1
Acne	Inherited Adrenogenital Disorders	1
Acne	Inherited Anomalies of the Skin	1
Acne	Li Fraumeni and Related Syndromes	1
Acne	Lipoprotein Deficiencies	1
Acne	Long QT Syndrome	1
Acne	Marfan Syndrome	1
Acne	Neurofibromatosis	1
Acne	Osteogenesis Imperfecta	1
Acne	Other Specified Disorders of Amino Acid Metabolism	1
Acne	Pervasive, Specified Congenital Anomalies	1
Acne	Retinitis Pigmentosa	1
Acne	Sensory Retina Dystropies	1
Acne	Severe Combined Immunodeficiency	1
Acne	Sickle Cell Anemia	1
Acne	Specific Nail Anomalies	1
Acne	Specified Anomalies of the Musculoskeletal System	1
Acne	Specified Hamartoses	1
Acne	Systemic Primary Carnitine Deficiency	1
Acne	Thalassemia	1
Acne	Tongue Tie	1
Acne	Tuberous Sclerosis	1
Acne	Wiskott-Aldrich Syndrome	1
Acquired Hypothyroidism	Androgen Insensitivity Syndrome	1
Acquired Hypothyroidism	Anophthalmos/Micropthalmos	1
Acquired Hypothyroidism	Autoimmune Lymphoproliferative Syndrome	1
Acquired Hypothyroidism	Autoimmune Polyglandular Syndrome	1
Acquired Hypothyroidism	Bartter Syndrome	1
Acquired Hypothyroidism	Cerebral Degeneration Due to Generalized Lipidoses	1
Acquired Hypothyroidism	Cerebral Lipidoses	1
Acquired Hypothyroidism	Chondrodystrophy	1
Acquired Hypothyroidism	Chronic Granulomatous Disease	1
Acquired Hypothyroidism	Chronic Progressive External Ophthalmoplegia	1
Acquired Hypothyroidism	Circulating Enzyme Deficiencies	1
Acquired Hypothyroidism	Combined Heart and Skeletal Defects	1
Acquired Hypothyroidism	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Acquired Hypothyroidism	Congenital Hydrocephalus	1
Acquired Hypothyroidism	Congenital Hypogammaglobulinemia	1
Acquired Hypothyroidism	Congenital Ichthyosis	1
Acquired Hypothyroidism	Cystic Fibrosis	1
Acquired Hypothyroidism	Degenerative Diseases of the Basal Ganglia	1
Acquired Hypothyroidism	Diamond-Blackfan Anemia	1
Acquired Hypothyroidism	Disorders of Aromatic Amino Acid Metabolism	1
Acquired Hypothyroidism	Disorders of Branched Chain Amino Acid Metabolism	1
Acquired Hypothyroidism	Disorders of Copper Metabolism	1
Acquired Hypothyroidism	Disorders of Fatty Acid Oxidation	1
Acquired Hypothyroidism	Disorders of Phosphorous Metabolism	1
Acquired Hypothyroidism	Disorders of Straight Chain Amino Acid Metabolism	1
Acquired Hypothyroidism	Disorders of Urea Cycle Metabolism	1
Acquired Hypothyroidism	Dopa-Responsive Dystonia	1
Acquired Hypothyroidism	Erythromelalgia	1
Acquired Hypothyroidism	Facial and Skull Anomalies	1
Acquired Hypothyroidism	Familial Dysautonomia	1
Acquired Hypothyroidism	Friedreich Ataxia	1
Acquired Hypothyroidism	Genetic Anomalies of Leukocytes	1
Acquired Hypothyroidism	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Acquired Hypothyroidism	Glycogenosis	1
Acquired Hypothyroidism	Haemophilia	1
Acquired Hypothyroidism	Hereditary Hemorrhagic Telangiectasia	1
Acquired Hypothyroidism	Hereditary Muscular Dystrophy	1
Acquired Hypothyroidism	Hereditary Sensory Neuropathy	1
Acquired Hypothyroidism	Hereditary Thrombocytopenic Purpura	1
Acquired Hypothyroidism	Holoprosencephaly	1
Acquired Hypothyroidism	Huntington Disease	1
Acquired Hypothyroidism	Hypopituitarism	1
Acquired Hypothyroidism	Immunodeficiency with Increased IgM	1
Acquired Hypothyroidism	Inherited Adrenogenital Disorders	1
Acquired Hypothyroidism	Inherited Anomalies of the Skin	1
Acquired Hypothyroidism	Li Fraumeni and Related Syndromes	1
Acquired Hypothyroidism	Lipoprotein Deficiencies	1
Acquired Hypothyroidism	Long QT Syndrome	1
Acquired Hypothyroidism	Marfan Syndrome	1
Acquired Hypothyroidism	Multiple Endocrine Neoplasia Type I	1
Acquired Hypothyroidism	Multiple Endocrine Neoplasia Type IIA	1
Acquired Hypothyroidism	Neurofibromatosis	1
Acquired Hypothyroidism	Non-Specified Osteodystrophy	1
Acquired Hypothyroidism	Osteogenesis Imperfecta	1
Acquired Hypothyroidism	Other Specified Disorders of Amino Acid Metabolism	1
Acquired Hypothyroidism	Peroxisomal Disorders	1
Acquired Hypothyroidism	Pervasive, Specified Congenital Anomalies	1
Acquired Hypothyroidism	Phenylketonuria	1
Acquired Hypothyroidism	Polycystic Kidney, Autosomal Dominant	1
Acquired Hypothyroidism	Retinitis Pigmentosa	1
Acquired Hypothyroidism	Sensory Retina Dystropies	1
Acquired Hypothyroidism	Severe Combined Immunodeficiency	1
Acquired Hypothyroidism	Sickle Cell Anemia	1
