mendelian_disease	causal_gene
Achromatopsia	CNGA3
Achromatopsia	CNGB3
Achromatopsia	GNAT2
Achromatopsia	PDE6C
Androgen Insensitivity Syndrome	AR
Anophthalmos/Micropthalmos	BCOR
Anophthalmos/Micropthalmos	BMP4
Anophthalmos/Micropthalmos	GDF3
Anophthalmos/Micropthalmos	GDF6
Anophthalmos/Micropthalmos	MFRP
Anophthalmos/Micropthalmos	OTX2
Anophthalmos/Micropthalmos	PAX6
Anophthalmos/Micropthalmos	PRSS56
Anophthalmos/Micropthalmos	RAX
Anophthalmos/Micropthalmos	SHH
Anophthalmos/Micropthalmos	SIX6
Anophthalmos/Micropthalmos	SOX2
Anophthalmos/Micropthalmos	STRA6
Anophthalmos/Micropthalmos	VSX2
Anterior Eye Anomalies	CYP1B1
Anterior Eye Anomalies	FOXC1
Anterior Eye Anomalies	FOXE3
Anterior Eye Anomalies	HDAC9
Anterior Eye Anomalies	MAF
Anterior Eye Anomalies	MYOC
Anterior Eye Anomalies	PAX6
Anterior Eye Anomalies	PITX2
Autoimmune Lymphoproliferative Syndrome	CASP10
Autoimmune Lymphoproliferative Syndrome	CASP8
Autoimmune Lymphoproliferative Syndrome	FADD
Autoimmune Lymphoproliferative Syndrome	FAS
Autoimmune Lymphoproliferative Syndrome	FASLG
Autoimmune Lymphoproliferative Syndrome	PRF1
Autoimmune Polyglandular Syndrome	AIRE
Bartter Syndrome	BSND
Bartter Syndrome	CLCNKA
Bartter Syndrome	CLCNKB
Bartter Syndrome	KCNJ1
Bartter Syndrome	SLC12A1
Cerebral Degeneration Due to Generalized Lipidoses	GBA
Cerebral Degeneration Due to Generalized Lipidoses	GLA
Cerebral Degeneration Due to Generalized Lipidoses	NPC1
Cerebral Degeneration Due to Generalized Lipidoses	NPC2
Cerebral Degeneration Due to Generalized Lipidoses	SMPD1
Cerebral Lipidoses	GLB1
Cerebral Lipidoses	GM2A
Cerebral Lipidoses	HEXA
Cerebral Lipidoses	HEXB
Cerebral Lipidoses	MCOLN1
Chondrodystrophy	COL2A1
Chondrodystrophy	FGFR3
Chronic Granulomatous Disease	CYBA
Chronic Granulomatous Disease	CYBB
Chronic Granulomatous Disease	NCF1
Chronic Granulomatous Disease	NCF2
Chronic Granulomatous Disease	NCF4
Chronic Progressive External Ophthalmoplegia	C10orf2
Chronic Progressive External Ophthalmoplegia	MT-TL1
Chronic Progressive External Ophthalmoplegia	POLG
Chronic Progressive External Ophthalmoplegia	SLC25A4
Circulating Enzyme Deficiencies	F12
Circulating Enzyme Deficiencies	SERPING1
Combined Heart and Skeletal Defects	CREBBP
Combined Heart and Skeletal Defects	EP300
Combined Heart and Skeletal Defects	TBX5
Congenital Disorders of Purine/Pyrimidine Metabolism	APRT
Congenital Disorders of Purine/Pyrimidine Metabolism	HPRT1
Congenital Disorders of Purine/Pyrimidine Metabolism	UMPS
Congenital Ectodermal Dysplasia	COL17A1
Congenital Ectodermal Dysplasia	COL7A1
Congenital Ectodermal Dysplasia	EDA
Congenital Ectodermal Dysplasia	EDAR
Congenital Ectodermal Dysplasia	EDARADD
Congenital Ectodermal Dysplasia	GJB6
Congenital Ectodermal Dysplasia	ITGA6
Congenital Ectodermal Dysplasia	ITGB4
Congenital Ectodermal Dysplasia	KRT14
Congenital Ectodermal Dysplasia	KRT5
Congenital Ectodermal Dysplasia	LAMA3
Congenital Ectodermal Dysplasia	LAMB3
Congenital Ectodermal Dysplasia	LAMC2
Congenital Ectodermal Dysplasia	PLEC
Congenital Ectodermal Dysplasia	WNT10A
Congenital Fistula of the Lip	IRF6
Congenital Hirschsprung Disease	EDN3
Congenital Hirschsprung Disease	EDNRB
Congenital Hirschsprung Disease	RET
Congenital Hydrocephalus	ADAMTS2
Congenital Hydrocephalus	AHI1
Congenital Hydrocephalus	ARL13B
