rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	247	0	0	401	0	0	0	401	401	2	1.000000e-16	1.000000e-05	1	1.000000e-16	2.894986e-13
2	TP53	tumor protein p53	1314	9	0	2	251	19	13	40	323	251	145	1.630877e-15	1.000000e-05	1.000000e-05	1.000000e-16	2.894986e-13
3	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	14	0	7	32	47	20	124	223	198	190	1.000000e-16	1.000000e-05	2.657300e-01	1.000000e-16	2.894986e-13
4	CIC	capicua homolog (Drosophila)	4905	6	0	1	66	9	3	48	126	108	89	9.367465e-16	1.000000e-05	5.943200e-01	1.000000e-16	2.894986e-13
5	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	28	0	3	25	2	4	24	55	42	43	1.000000e-16	1.000000e-05	1.860100e-01	1.000000e-16	2.894986e-13
6	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1401	76	0	0	20	0	0	0	20	20	3	1.000000e-16	1.000000e-05	9.999500e-01	1.000000e-16	2.894986e-13
7	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	7	0	2	7	1	1	15	24	22	18	5.515032e-14	1.000000e-05	7.388000e-01	1.110223e-16	2.894986e-13
8	FUBP1	far upstream element (FUSE) binding protein 1	2013	151	0	1	1	11	9	29	50	47	45	1.000000e-16	1.800000e-02	9.820000e-01	2.220446e-16	5.066225e-13
9	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	8807	12	0	3	11	11	8	21	51	33	47	1.000000e-16	6.200000e-02	9.070000e-01	4.440892e-16	9.006623e-13
10	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	2278	11	0	0	0	0	1	15	16	15	15	1.238946e-15	1.800000e-01	1.330000e-01	2.775558e-15	5.066225e-12
11	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	290	0	0	15	3	2	4	24	24	22	2.368190e-15	1.850000e-01	7.780000e-01	1.965095e-14	3.260807e-11
12	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	37	0	2	8	7	1	10	26	20	26	1.108802e-15	1	8.750000e-01	3.930190e-14	5.978146e-11
13	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	20	1	1	42	2	0	1	45	35	28	3.459249e-09	1.000000e-05	6.390000e-03	1.106781e-12	1.554006e-09
14	GAGE2A	G antigen 2A	1486	69	0	0	2	0	0	6	8	8	3	8.050458e-09	1.000000e-05	9.665700e-01	2.507772e-12	3.269597e-09
15	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	6	0	1	1	0	0	10	11	11	2	1.634499e-08	1.000000e-05	9.995300e-01	4.975798e-12	6.054882e-09
16	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	38	0	4	7	49	44	28	6.850204e-08	1.000000e-05	2.391000e-02	1.987199e-11	2.267022e-08
17	STK19	serine/threonine kinase 19	1186	240	0	0	3	0	0	8	11	10	4	8.649520e-07	1.000000e-05	5.541300e-01	2.289832e-10	2.458606e-07
18	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	5189	10	1	5	22	0	0	6	28	26	25	1.100127e-07	1.600000e-03	2.945000e-01	4.622375e-09	4.687345e-06
19	NIPBL	Nipped-B homolog (Drosophila)	8642	6	0	0	9	5	3	7	24	18	24	2.313569e-10	1	7.220000e-01	5.364487e-09	5.153578e-06
20	TRERF1	transcriptional regulating factor 1	3655	6	0	1	1	0	1	4	6	6	4	1.757134e-05	5.000000e-05	3.915900e-01	3.005785e-08	2.743230e-05
21	CREBZF	CREB/ATF bZIP transcription factor	1065	80	0	0	1	0	0	6	7	7	2	2.423429e-04	1.000000e-05	5.183100e-01	5.049961e-08	4.389378e-05
22	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2952	180	0	1	9	3	0	0	12	11	12	6.677144e-09	1	2.410000e-01	6.797849e-08	5.640052e-05
23	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	754	8	1	0	0	0	0	5	5	5	2	4.540462e-06	1.050000e-03	9.398000e-01	2.106931e-07	1.672078e-04
24	IRS4	insulin receptor substrate 4	3778	4	0	1	5	0	0	5	10	8	7	8.376121e-04	7.000000e-04	1.065000e-02	3.166967e-07	2.408610e-04
25	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	6282	31	0	1	7	0	1	7	15	11	12	1.281431e-05	1.250000e-03	9.158000e-01	4.736057e-07	3.406561e-04
26	MED9	mediator complex subunit 9	447	4	0	1	0	0	0	3	3	3	1	2.629463e-05	1.000000e-03	4.938714e-01	4.852385e-07	3.406561e-04
27	FAM47C	family with sequence similarity 47, member C	3110	36	0	4	19	0	0	0	19	19	8	7.233063e-03	1.000000e-05	6.105600e-01	1.261592e-06	8.528831e-04
28	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	590	34	0	0	4	0	0	0	4	4	3	6.928681e-04	1.400000e-04	2.167700e-01	1.663435e-06	1.084381e-03
29	PLXNA3	plexin A3	5744	22	0	2	6	0	0	3	9	9	7	1.960034e-04	6.333333e-04	9.941000e-01	2.098125e-06	1.320589e-03
30	TNRC18	trinucleotide repeat containing 18	9019	7	0	1	5	1	0	5	11	10	10	1.356247e-06	1.130000e-01	9.640000e-01	2.960304e-06	1.801148e-03
31	HTRA2	HtrA serine peptidase 2	1405	36	0	0	1	0	0	4	5	5	2	3.804337e-04	3.000000e-04	7.384000e-01	3.133842e-06	1.845226e-03
32	ZMIZ1	zinc finger, MIZ-type containing 1	3288	22	0	0	5	0	0	4	9	9	7	5.263223e-04	1.166667e-03	2.017500e-01	3.447125e-06	1.966262e-03
33	CUL4B	cullin 4B	2837	38	0	2	8	1	1	2	12	10	12	7.810673e-07	1	4.310000e-01	8.114655e-06	4.488388e-03
34	DLX6	distal-less homeobox 6	890	86	0	0	0	1	0	3	4	4	2	3.930590e-04	2.700000e-03	9.971000e-01	1.566000e-05	8.407118e-03
35	RB1	retinoblastoma 1 (including osteosarcoma)	2891	4	0	0	2	0	1	4	7	6	7	6.064315e-06	1	1.540000e-01	1.798282e-05	9.000279e-03
36	ROBO3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	4269	17	0	0	3	0	0	2	5	5	4	1.814002e-04	3.940000e-02	7.190000e-02	1.801637e-05	9.000279e-03
37	SRPX	sushi-repeat-containing protein, X-linked	1431	272	0	0	0	0	0	4	4	4	1	1.250271e-02	1.000000e-04	9.997100e-01	1.824414e-05	9.000279e-03
38	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	1606	18	0	0	1	1	0	5	7	7	6	3.151796e-05	4.600000e-02	7.080000e-01	2.514667e-05	1.207900e-02
39	TMEM216	transmembrane protein 216	467	73	0	0	0	0	3	0	3	3	1	4.600234e-04	4.300000e-03	1	2.795723e-05	1.308470e-02
40	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	5588	3	0	0	14	2	0	5	21	11	20	3.093926e-05	1.560000e-01	4.560000e-01	3.800677e-05	1.734344e-02
41	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	1919	120	0	1	8	0	2	1	11	9	11	3.186404e-06	1	4.900000e-01	4.351550e-05	1.937289e-02
42	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	3358	0	0	5	14	0	0	4	18	10	16	4.542758e-01	6.000000e-04	9.000000e-05	6.042766e-05	2.626157e-02
43	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	1842	34	0	2	7	0	0	0	7	7	5	7.378626e-03	7.500000e-04	5.696500e-01	7.252049e-05	3.078410e-02
44	MYT1	myelin transcription factor 1	3448	1	0	1	0	2	1	4	7	6	7	6.375980e-06	1	7.210000e-01	8.265165e-05	3.428729e-02
45	ZNF292	zinc finger protein 292	8202	7	0	2	7	0	0	11	18	14	18	7.505462e-06	1	9.680000e-01	9.606901e-05	3.872021e-02
46	PPL	periplakin	5357	0	0	2	3	2	0	2	7	6	7	8.980722e-04	1	3.700000e-03	9.758010e-05	3.872021e-02
47	CIB1	calcium and integrin binding 1 (calmyrin)	600	649	0	0	4	0	0	0	4	4	2	1.095598e-02	1.050000e-03	7.264000e-01	1.044322e-04	4.055747e-02
48	ANKRD36	ankyrin repeat domain 36	6126	247	0	1	6	0	0	1	7	7	5	3.532921e-03	2.000000e-03	3.734000e-01	1.116146e-04	4.244379e-02
49	NAP1L2	nucleosome assembly protein 1-like 2	1383	43	0	0	2	0	0	2	4	4	3	7.659475e-04	1.690000e-02	5.260000e-01	1.290413e-04	4.806919e-02
50	SMOC1	SPARC related modular calcium binding 1	1352	138	0	0	1	0	0	2	3	3	3	5.372724e-03	8.400000e-03	1.026000e-01	1.336844e-04	4.837040e-02
51	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	6621	23	0	3	8	1	1	0	10	10	10	5.278447e-05	1	1.650000e-01	1.351499e-04	4.837040e-02
52	ZNF512B	zinc finger protein 512B	2743	10	0	0	5	0	1	0	6	5	4	6.883059e-02	7.000000e-05	4.946500e-01	1.445779e-04	5.074963e-02
53	PRX	periaxin	4463	9	0	0	10	0	0	1	11	10	11	1.308623e-05	1	6.510000e-01	1.602272e-04	5.518163e-02
54	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	1190	23	0	0	2	0	0	2	4	4	3	1.855741e-03	1.790000e-02	2.450000e-01	1.695543e-04	5.731249e-02
55	C9orf79	chromosome 9 open reading frame 79	4354	19	0	1	10	0	0	1	11	10	11	1.467244e-05	1	6.640000e-01	1.779700e-04	5.880105e-02
56	KRT3	keratin 3	1921	19	0	0	2	0	0	2	4	4	4	1.673148e-04	1	3.000000e-02	1.804010e-04	5.880105e-02
57	ELF4	E74-like factor 4 (ets domain transcription factor)	2020	38	0	1	1	1	1	1	4	4	4	4.248734e-05	1	3.670000e-01	1.956953e-04	6.266713e-02
58	NEU2	sialidase 2 (cytosolic sialidase)	1146	149	0	0	5	0	0	1	6	6	6	1.015681e-04	1	8.900000e-02	2.021642e-04	6.335550e-02
59	ZNF709	zinc finger protein 709	1938	8	0	0	3	0	0	0	3	3	1	1.709908e-02	1.000000e-03	9.734600e-01	2.047869e-04	6.335550e-02
60	R3HDM1	R3H domain containing 1	3396	22	0	0	5	0	1	1	7	7	7	6.843660e-04	2.000000e-02	5.780000e-01	2.198671e-04	6.688725e-02
61	PLCG1	phospholipase C, gamma 1	4000	46	0	3	5	0	0	1	6	6	5	6.054317e-03	1.730000e-02	1.556000e-01	2.361710e-04	7.066934e-02
62	C14orf4	chromosome 14 open reading frame 4	2391	38	0	0	0	0	0	3	3	3	3	1.001578e-03	2.000000e-02	9.930000e-01	2.690280e-04	7.920272e-02
63	ZBTB20	zinc finger and BTB domain containing 20	2238	0	0	3	15	1	0	6	22	21	19	1.071442e-02	7.500000e-03	2.170000e-02	2.861320e-04	8.290107e-02
64	C4BPA	complement component 4 binding protein, alpha	1838	48	0	0	6	0	0	0	6	6	6	6.704619e-05	1	1.750000e-01	2.963898e-04	8.453130e-02
65	ENGASE	endo-beta-N-acetylglucosaminidase	2286	27	0	0	4	0	1	1	6	5	6	3.103999e-05	1	6.460000e-01	3.532424e-04	9.802369e-02
66	DLC1	deleted in liver cancer 1	4732	17	0	3	8	0	0	0	8	6	6	3.461692e-01	2.800000e-04	4.280000e-02	3.544384e-04	9.802369e-02
67	G6PC	glucose-6-phosphatase, catalytic subunit	1092	255	0	0	6	1	0	0	7	6	7	3.174886e-05	1	8.900000e-01	3.605926e-04	9.823726e-02
68	SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	3346	8	0	3	6	1	0	2	9	7	8	3.240855e-03	7.040000e-02	4.820000e-02	3.741123e-04	9.983661e-02
69	RET	ret proto-oncogene	3451	37	0	3	7	1	0	0	8	7	8	1.872209e-04	1	8.900000e-02	3.807406e-04	9.983661e-02
70	SETD2	SET domain containing 2	7777	25	0	2	7	2	0	4	13	10	13	3.139518e-04	1	6.200000e-02	3.828720e-04	9.983661e-02
71	ZC3H11A	zinc finger CCCH-type containing 11A	2493	36	0	1	2	0	0	5	7	6	6	1.332066e-03	3.000000e-02	4.970000e-01	4.040017e-04	1.038626e-01
72	USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	4336	9	0	1	4	1	2	0	7	7	7	8.671467e-05	1	2.940000e-01	4.404235e-04	1.116535e-01
73	RBBP6	retinoblastoma binding protein 6	5499	3	0	0	4	1	0	4	9	6	9	4.350480e-05	1	7.760000e-01	4.804079e-04	1.199977e-01
74	SLFN11	schlafen family member 11	2722	10	0	0	4	1	0	1	6	6	6	8.229562e-05	1	4.130000e-01	4.864860e-04	1.199977e-01
75	ASXL2	additional sex combs like 2 (Drosophila)	4352	3	0	1	1	0	0	2	3	3	2	2.489390e-02	1.800000e-03	5.950000e-01	4.934862e-04	1.201014e-01
76	KRT15	keratin 15	1399	42	0	1	6	0	0	0	6	6	5	1.137877e-03	2.500000e-02	8.200000e-01	5.232463e-04	1.256686e-01
77	FMR1	fragile X mental retardation 1	1963	21	0	1	3	0	0	3	6	5	6	4.898907e-05	1	5.630000e-01	5.351524e-04	1.268589e-01
