gene	Nnon	Nsil	Nflank	nnon	npat	nsite	nsil	nflank	nnei	fMLE	p	score	time	q
STK11	281718	81436	38010	88	81	69	2	0	20	7.736756e-01	0	4.556816e+02	6.523830e-01	0
EGFR	1733844	473990	494088	87	73	38	4	1	20	6.271034e-01	1.110223e-16	3.030042e+02	8.045010e-01	1.013134e-12
RIMS2	1884837	529923	1038492	109	91	101	18	0	6	1.722608e+00	3.330669e-16	2.271404e+02	9.383520e-01	2.026268e-12
RB1	1604208	423009	424144	33	32	32	1	0	20	6.380471e-01	5.551115e-16	1.720992e+02	9.722050e-01	2.532835e-12
COL11A1	2412051	757288	964754	147	117	138	18	6	18	2.288631e+00	8.881784e-16	2.832359e+02	6.405770e-01	3.039402e-12
KRAS	340783	83352	82544	173	167	11	0	0	1	1.558114e+00	9.992007e-16	4.247105e+02	8.265750e-01	3.039402e-12
DST	8847710	2283105	4405492	147	103	143	26	0	0	5.573847e-01	1.443290e-15	2.433108e+02	5.746670e-01	3.763069e-12
TP53	532035	155388	144480	322	305	175	4	0	4	9.569047e-01	1.665335e-15	1.206840e+03	7.480360e-01	3.799253e-12
SMARCA4	1826749	516632	432446	47	44	45	5	0	20	6.056747e-01	3.441691e-15	1.725065e+02	6.270510e-01	5.499870e-12
COL5A2	1878728	635823	780836	59	55	56	12	0	20	9.832696e-01	3.996803e-15	1.556914e+02	7.080520e-01	5.499870e-12
CSMD3	5009960	1399982	1122212	395	229	361	71	5	5	4.997667e+00	4.107825e-15	4.520839e+02	5.189410e-01	5.499870e-12
RBM10	867340	245471	206024	40	38	35	2	0	16	8.255514e-01	4.107825e-15	2.065136e+02	1.007525e+00	5.499870e-12
DCDC1	491132	133459	122262	75	65	70	22	0	20	3.058227e+00	4.218847e-15	1.978705e+02	6.203740e-01	5.499870e-12
EPHA5	1340615	372143	285656	81	69	77	16	0	13	2.119969e+00	4.218847e-15	1.764819e+02	8.941460e-01	5.499870e-12
KEAP1	732404	214108	64526	100	99	85	2	0	20	8.756612e-01	5.218048e-15	3.510090e+02	6.718560e-01	6.348973e-12
OR8U1	407640	114880	17136	39	36	39	2	0	20	8.533479e-01	6.217249e-15	1.059445e+02	1.280814e+00	7.091938e-12
NF1	5300412	1485502	954940	73	64	67	7	0	0	4.112882e-01	1.043610e-14	2.357806e+02	6.852430e-01	1.120407e-11
BRAF	972441	277615	281162	47	43	22	1	0	19	8.780384e-01	1.132427e-14	1.432922e+02	7.381320e-01	1.148219e-11
ZCCHC5	566496	161301	10752	31	28	30	8	0	11	6.625121e-01	1.820766e-14	9.343822e+01	1.381743e+00	1.748989e-11
OVCH1	1366687	380364	305438	59	48	56	13	0	20	1.261476e+00	4.840572e-14	1.368675e+02	9.275220e-01	4.417264e-11
FLG	5174048	1535665	36036	215	136	206	46	0	15	1.460778e+00	8.071321e-14	2.579708e+02	5.025240e-01	7.014747e-11
GPR112	3971287	1261823	368634	115	97	109	37	0	20	1.432626e+00	2.714495e-13	2.145661e+02	6.335970e-01	2.251921e-10
SNTG1	702145	193109	265594	70	64	65	15	0	9	4.172064e+00	6.810108e-13	1.624313e+02	8.983590e-01	5.403969e-10
LTBP1	2177376	579778	546294	63	57	60	13	0	20	1.091371e+00	1.562195e-12	1.510105e+02	5.335160e-01	1.187984e-09
TMTC1	1029080	291015	273308	58	50	54	9	2	18	1.937061e+00	2.337130e-12	1.359000e+02	1.088755e+00	1.706199e-09
ABCB5	1624762	462758	368690	60	55	60	19	2	20	1.449848e+00	2.913447e-12	1.462560e+02	1.015918e+00	2.045128e-09
HRNR	2664412	881935	35266	92	74	89	23	0	20	1.162013e+00	3.268608e-12	1.730394e+02	7.357960e-01	2.209458e-09
SMAD4	745524	207775	168980	22	22	21	3	3	20	7.013496e-01	3.568035e-12	8.871885e+01	5.728270e-01	2.325722e-09
ZNF804A	1616569	426810	61572	110	92	105	17	0	3	3.343373e+00	4.447998e-12	2.110735e+02	1.168314e+00	2.799324e-09
LRP1B	6310568	1575974	1419712	349	202	332	63	1	6	3.766230e+00	5.190071e-12	3.854779e+02	7.966280e-01	3.157466e-09
EPHA6	1401220	391425	268772	63	58	58	9	0	5	1.509636e+00	6.916800e-12	1.555415e+02	6.714960e-01	4.072210e-09
ATM	4202969	1080173	917126	55	46	53	2	0	2	3.099935e-01	1.536549e-11	1.567950e+02	5.664270e-01	8.763609e-09
TAF1L	2416029	663833	16744	71	61	65	12	0	20	1.160038e+00	2.151346e-11	1.522836e+02	9.506970e-01	1.189825e-08
COL19A1	1512526	465657	776748	59	50	58	10	0	9	1.603357e+00	4.059342e-11	1.465629e+02	6.886490e-01	2.161721e-08
ARID1A	2515033	740936	295092	39	35	37	3	0	2	5.775257e-01	4.145539e-11	1.469129e+02	6.264320e-01	2.161721e-08
FERD3L	215010	65308	17388	22	22	19	3	1	18	1.710537e+00	7.019896e-11	7.367826e+01	7.968040e-01	3.478927e-08
SPEF2	2489051	640131	561456	66	55	63	8	0	4	8.584619e-01	7.052781e-11	1.505947e+02	7.028860e-01	3.478927e-08
EMG1	382672	116485	93506	11	11	2	0	1	20	8.499170e-01	7.512269e-11	7.004802e+01	5.589760e-01	3.608064e-08
MUC7	466248	173432	34692	27	25	26	2	0	20	1.022508e+00	8.491086e-11	7.552252e+01	5.249460e-01	3.973610e-08
MGA	3772479	1107791	371826	49	43	48	6	0	3	7.183337e-01	8.925394e-11	1.656904e+02	7.510410e-01	4.072434e-08
PLCB1	1713632	444151	585704	56	51	51	10	6	11	1.246987e+00	1.245877e-10	1.352634e+02	9.013590e-01	5.545975e-08
OR5R1	419407	124986	17192	21	19	20	4	0	20	8.857622e-01	2.614287e-10	6.760764e+01	7.211810e-01	1.136032e-07
SGIP1	1108827	336167	515284	42	38	39	6	2	20	1.130152e+00	2.903361e-10	1.038492e+02	9.120100e-01	1.232308e-07
EPHA3	1328170	366681	275898	58	48	52	15	0	13	1.592028e+00	4.127197e-10	1.286170e+02	5.833970e-01	1.711943e-07
ITGA4	1416309	376703	452830	38	36	38	7	1	15	8.155350e-01	4.373343e-10	1.003832e+02	5.930790e-01	1.773731e-07
