rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	SPOP	speckle-type POZ protein	1161	201	0	0	56	0	0	2	58	57	19	1.000000e-16	1.000000e-05	2.831400e-01	1.000000e-16	9.126500e-13
2	TP53	tumor protein p53	1314	498	0	0	42	2	4	12	60	57	45	1.000000e-16	3.400000e-04	1.000000e-05	1.000000e-16	9.126500e-13
3	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	84	0	0	5	1	1	10	17	17	17	1.000000e-16	3.580000e-01	8.310000e-01	1.776357e-15	1.080795e-11
4	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	111	0	0	0	0	0	11	11	11	1	2.057006e-10	1.000000e-05	9.995500e-01	7.160939e-14	3.267715e-10
5	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	1	0	1	17	4	0	15	36	29	36	1.884365e-11	1	1.900000e-02	3.481992e-11	1.271136e-07
6	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	31	0	0	13	0	0	0	13	13	10	8.554708e-07	1.000000e-05	3.489000e-02	2.265675e-10	6.892562e-07
7	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	54	0	2	16	0	0	0	16	14	13	6.024896e-06	1.000000e-05	1.802300e-01	1.478060e-09	3.854147e-06
8	KDM6A	lysine (K)-specific demethylase 6A	4318	76	0	2	4	2	2	5	13	13	13	1.167176e-09	1	7.900000e-02	8.253212e-09	1.883073e-05
9	FOXA1	forkhead box A1	1423	3	0	3	14	1	0	14	29	28	20	6.860556e-04	1.000000e-05	1.145300e-01	1.358217e-07	2.754615e-04
10	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	16	0	6	16	6	2	10	34	29	33	2.523366e-07	1.300000e-01	3.980000e-01	3.867992e-07	7.060246e-04
11	GAGE2A	G antigen 2A	1486	67	0	0	1	0	0	4	5	5	2	2.538122e-05	7.333333e-04	9.284333e-01	8.178500e-07	1.357111e-03
12	TNRC18	trinucleotide repeat containing 18	9019	0	0	0	5	0	0	5	10	9	8	4.828895e-05	3.350000e-03	1.061000e-01	1.063740e-06	1.618038e-03
13	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	2089	184	0	1	3	0	1	1	5	5	3	1.690667e-03	5.000000e-05	8.853200e-01	1.735010e-06	2.436087e-03
14	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	804	0	0	6	0	0	0	6	6	3	1.000848e-03	1.400000e-04	9.273100e-01	2.351301e-06	3.065592e-03
15	GATA6	GATA binding protein 6	1812	52	0	0	0	0	0	4	4	4	2	5.945099e-04	3.000000e-04	9.865400e-01	3.317886e-06	4.007801e-03
16	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	3879	8	0	0	4	1	0	3	8	8	7	9.764721e-05	2.540000e-02	2.580000e-02	3.513111e-06	4.007801e-03
17	CNTNAP1	contactin associated protein 1	4247	33	0	2	7	0	1	1	9	9	7	7.915834e-04	2.833333e-04	6.225167e-01	5.252387e-06	5.618600e-03
18	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	605	178	0	0	0	2	0	4	6	6	6	7.477154e-07	1	4.000000e-01	5.540722e-06	5.618600e-03
19	EOMES	eomesodermin homolog (Xenopus laevis)	2081	2	0	1	3	0	0	2	5	5	4	5.405408e-03	7.000000e-05	5.778100e-01	7.558085e-06	7.260933e-03
20	NBPF1	neuroblastoma breakpoint family, member 1	3519	59	0	2	10	0	2	2	14	9	14	6.981037e-06	9.500000e-02	7.200000e-01	1.197249e-05	1.092669e-02
21	LMOD2	leiomodin 2 (cardiac)	1652	48	0	0	2	0	0	4	6	6	4	2.198615e-03	1.400000e-03	7.820000e-02	1.618272e-05	1.406586e-02
22	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	2198	30	0	0	4	0	0	1	5	5	5	2.707769e-05	4.900000e-02	8.820000e-01	2.472202e-05	2.051141e-02
23	MED12	mediator complex subunit 12	6710	10	0	1	8	0	0	0	8	8	5	2.534554e-01	1.000000e-05	1.655200e-01	3.519353e-05	2.792989e-02
24	ZNF709	zinc finger protein 709	1938	10	0	2	5	0	0	0	5	5	2	5.971908e-03	2.000000e-04	9.487625e-01	3.906894e-05	2.971356e-02
25	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	2439	28	0	0	1	1	1	1	4	4	4	4.510846e-05	1	5.600000e-02	4.996272e-05	3.647878e-02
26	MED15	mediator complex subunit 15	2437	22	0	1	5	0	1	2	8	7	8	1.445571e-05	1	2.510000e-01	6.781317e-05	4.760746e-02
27	ERF	Ets2 repressor factor	1659	32	0	0	1	0	0	4	5	5	5	6.333985e-06	1	9.840000e-01	8.214913e-05	5.406381e-02
28	ERN1	endoplasmic reticulum to nucleus signaling 1	3018	48	0	2	2	0	0	3	5	4	4	3.047405e-04	2.900000e-02	4.720000e-01	8.293359e-05	5.406381e-02
29	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	3174	1	0	0	4	0	0	1	5	5	3	9.187253e-02	7.000000e-05	3.563600e-01	9.423062e-05	5.931005e-02
30	ZFHX3	zinc finger homeobox 3	11148	8	0	2	8	4	0	7	19	16	19	1.946948e-05	1	2.510000e-01	1.096535e-04	6.671687e-02
31	ZMYM3	zinc finger, MYM-type 3	4227	0	0	0	6	1	1	5	13	12	13	6.003941e-05	1.390000e-01	5.570000e-01	1.198950e-04	7.059495e-02
32	FMN1	formin 1	3655	11	1	0	1	0	0	3	4	4	4	7.725755e-04	1	6.700000e-03	1.327241e-04	7.570667e-02
