rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	15	0	2	128	21	14	37	200	188	111	5.440121e-16	1.000000e-05	1.000000e-05	1.000000e-16	3.047333e-13
2	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	2	0	0	24	23	6	71	124	99	97	6.213977e-16	1.000000e-05	1.349500e-01	1.000000e-16	3.047333e-13
3	RNF43	ring finger protein 43	2384	4	0	2	11	5	0	47	63	45	26	1.000000e-16	1.000000e-05	2.147200e-01	1.000000e-16	3.047333e-13
4	XYLT2	xylosyltransferase II	2638	5	0	5	12	0	0	32	44	38	15	2.267019e-15	1.000000e-05	9.912600e-01	1.000000e-16	3.047333e-13
5	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	4	0	0	37	0	0	0	37	37	6	1.623828e-15	1.000000e-05	2.490000e-02	1.000000e-16	3.047333e-13
6	LARP4B	La ribonucleoprotein domain family, member 4B	2283	1	0	3	6	3	1	23	33	30	12	1.000000e-16	1.000000e-05	8.093100e-01	1.000000e-16	3.047333e-13
7	HLA-B	major histocompatibility complex, class I, B	1119	13	0	0	10	3	3	15	31	28	26	1.000000e-16	2.310000e-01	8.200000e-02	2.220446e-16	5.799805e-13
8	RHOA	ras homolog gene family, member A	918	120	0	0	19	0	0	1	20	19	15	1.931459e-13	3.000000e-05	5.993400e-01	8.881784e-16	2.029932e-12
9	SMAD4	SMAD family member 4	1699	45	0	1	25	1	0	6	32	28	26	1.718734e-13	1.200000e-04	5.943300e-01	1.221245e-15	2.481028e-12
10	B2M	beta-2-microglobulin	374	24	0	1	4	2	2	18	26	18	18	1.699619e-15	1.320000e-02	8.210000e-01	1.998401e-15	3.653877e-12
11	C7orf50	chromosome 7 open reading frame 50	2545	2	0	0	2	0	0	10	12	12	3	9.976042e-12	1.000000e-05	3.273400e-01	3.774758e-15	6.274335e-12
12	MLL4	myeloid/lymphoid or mixed-lineage leukemia 2	8293	0	0	13	22	4	2	43	71	45	47	2.239387e-10	1.000000e-05	1	7.782663e-14	1.185818e-10
13	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	1	0	4	13	4	2	20	39	30	26	2.436815e-10	1.000000e-05	9.998100e-01	8.437695e-14	1.186729e-10
14	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	25	0	3	26	0	6	1	33	32	29	3.479060e-10	3.500000e-04	3.300000e-04	1.193490e-13	1.558698e-10
15	GNG12	guanine nucleotide binding protein (G protein), gamma 12	227	0	0	2	2	0	0	10	12	12	4	4.964369e-11	9.000000e-05	3.190900e-01	1.684208e-13	2.052938e-10
16	PGM5	phosphoglucomutase 5	1744	12	0	3	34	6	0	1	41	39	9	1.079496e-09	1.000000e-05	1	3.579359e-13	4.090313e-10
