cytoband	8q23.3	15q22.31	
q value	0.21756	0.21756	
residual q value	0.21756	0.21756	
wide peak boundaries	chr8:116272008-117149163	chr15:1-66482794	
genes in wide peak	RNA5SP276	MIR4511	
	LINC00536	snoU13|ENSG00000238311.1	
	TRPS1	snoU13|ENSG00000238715.1	
		SNORA24|ENSG00000206903.1	
		CLPX	
		MTFMT	
		RN7SL348P	
		MIR1272	
		RN7SL707P	
		RN7SL595P	
		SNORA48|ENSG00000252774.1	
		USP3	
		CA12	
		MIR190A	
		RN7SL613P	
		RNA5SP397	
		RNA5SP396	
		snoU13|ENSG00000238767.1	
		MIR2116	
		C15ORF31	
		U3|ENSG00000200318.1	
		RN7SKP95	
		snoU13|ENSG00000239100.1	
		MYZAP	
		LINC00926	
		snoU13|ENSG00000239035.1	
		RN7SL568P	
		snoU13|ENSG00000238513.1	
		PYGO1	
		MIR628	
		RSL24D1	
		ONECUT1	
		MIR1266	
		U6|ENSG00000272337.1	
		RN7SL354P	
		RNA5SP395	
		U6|ENSG00000271819.1	
		RN7SL494P	
		RNA5SP394	
		FGF7	
		RN7SL307P	
		RN7SL577P	
		RN7SKP139	
		FKSG62	
		RN7SKP101	
		SNORD11|ENSG00000238819.1	
		SNORA41|ENSG00000207516.1	
		HMGN2P46	
		snoU13|ENSG00000238583.1	
		SLC30A4	
		SNORA11|ENSG00000261709.2	
		SORD	
		B2M	
		RN7SL347P	
		HYPK	
		CATSPER2P1	
		snoU13|ENSG00000238494.1	
		snoU13|ENSG00000238535.1	
		RN7SL487P	
		CCNDBP1	
		snoU13|ENSG00000239025.1	
		MIR627	
		MIR4310	
		RNA5SP393	
		MIR626	
		RN7SL497P	
		RN7SL376P	
		snoU13|ENSG00000238559.1	
		LINC00594	
		RNA5SP392	
		LINC00984	
		snoU13|ENSG00000238564.1	
		THBS1	
		FAM98B	
		U3|ENSG00000212511.1	
		CSNK1A1P1	
		MIR3942	
		ANP32AP1	
		GJD2	
		SNORA18|ENSG00000252425.1	
		SLC12A6	
		TMCO5B	
		SNORD77|ENSG00000212415.1	
		snoU13|ENSG00000238342.1	
		RN7SL286P	
		RN7SL539P	
		GOLGA8O	
		U8|ENSG00000206987.1	
		ULK4P1	
		RN7SL185P	
		GOLGA8K	
		CHRNA7	
		SNORA18|ENSG00000206849.1	
		MIR211	
		RN7SL82P	
		U8|ENSG00000252602.1	
		RN7SL628P	
		GOLGA8H	
		U8|ENSG00000207430.1	
		ULK4P2	
		RN7SL796P	
		GOLGA8Q	
		RN7SL196P	
		GOLGA8R	
		U8|ENSG00000238519.1	
		RN7SL469P	
		GOLGA8T	
		U8|ENSG00000207432.1	
		ULK4P3	
		RN7SL673P	
		GOLGA8J	
		snoZ278	
		GOLGA6L7P	
		WHAMMP2	
		RN7SL719P	
		GOLGA8M	
		RN7SL829P	
		RN7SL238P	
		GOLGA8F	
		RNA5SP391	
		LINC00929	
		SNORA48|ENSG00000212604.1	
		MIR4715	
		RNA5SP390	
		ATP10A	
		SNORD109B	
		SNORD115|ENSG00000212428.1	
		SNORD109A	
		SNORD108	
		SNORD64|ENSG00000270704.2	
		SNHG14	
		SNURF	
		snoU13|ENSG00000238615.1	
		PWRN1	
		PWRN2	
		MAGEL2	
		RN7SL536P	
		GOLGA8S	
		RN7SL106P	
		HERC2P2	
		RN7SL495P	
		WHAMMP3	
		RN7SL545P	
