cytoband	5q35.1	3q26.32	Xq11.2	7q31.2	1q32.1	1q24.1	Xq28	8q24.22	10p14	4q32.1	
q value	2.1944e-60	2.0306e-05	0.001208	0.075418	0.016713	0.059566	0.12739	0.15559	0.17403	0.18358	
residual q value	2.1944e-60	2.0306e-05	0.001208	0.075418	0.10278	0.1093	0.12739	0.15559	0.17403	0.18358	
wide peak boundaries	chr5:157747359-180359088	chr3:161783309-198022430	chrX:64003371-64052730	chr7:110663086-159138663	chr1:203699717-205218424	chr1:120522602-208770337	chrX:93621281-155270560	chr8:69506698-146364022	chr10:1-16776063	chr4:159611309-162008604	
genes in wide peak	LINC00847	FAM157A	[ZC4H2]	LINC00689	SNORD112|ENSG00000252946.1	MIR29B2	WASH6P|ENSG00000182484.10	ZNF252P	snoU13|ENSG00000238552.1	U3|ENSG00000251979.1	
	MIR340	FYTTD1		MIR595	SCARNA20|ENSG00000251861.1	MIR29C	WASIR1|ENSG00000185203.7	RN7SL395P	SNORA31|ENSG00000252537.1	C4orf45	
	RN7SKP150	snoU13|ENSG00000238491.1		RN7SL142P	RNA5SP75	snoU13|ENSG00000238401.1	F8A3	C8orf82	snoU13|ENSG00000239130.1	U3|ENSG00000271817.1	
	MIR1229	MIR4797		SHH	RNA5SP74	FAIM3	F8A2	MIR1234	ITGA8	ETFDH	
	HMGB3P22	U4|ENSG00000272359.1		RN7SKP280	SNRPE	IL20	FUNDC2	MIR939	NMT2	PPID	
	RN7SL71P	RN7SL738P		HTR5A	ZBED6	SNORD112|ENSG00000252853.1	SNORA56	TMEM249	ACBD7	RAPGEF2	
	ZNF879	RN7SL434P		RN7SL845P	ATP2B4	C1orf147	SNORA36A	DGAT1	MEIG1	FNIP2	
	ZNF354B	UBXN7		RN7SL811P	KISS1	SRGAP2	RN7SL742P	SCXA	CDNF		
	AACSP1	SDHAP1		SNORA26|ENSG00000212590.1	MDM4	SNORD60|ENSG00000252692.1	RN7SL697P	SCXB	RNA5SP302		
	RN7SKP70	RN7SL773P		snoU13|ENSG00000238557.1	PIK3C2B	C1orf186	LAGE3	MIR661	RNA5SP301		
	RN7SL646P	LINC00969		RNA5SP250	RBBP5	AVPR1B	SNORA70|ENSG00000207165.1	EPPK1	RNA5SP300		
	RN7SL562P	RNU6ATAC24P		FABP5P3	REN	FAM72A	TEX28P1	MIR937	MIR4480		
	EIF4E1B	RN7SL36P		snoU13|ENSG00000239045.1	CNTN2	SNORA72|ENSG00000201944.1	OPN1MW	CCDC166	RNU6ATAC39P		
	MIR4281	MIR3137		RN7SL76P	SOX13	SNORD112|ENSG00000252946.1	TEX28P2	7SK|ENSG00000254144.2	SNORD45|ENSG00000252438.1		
	RN7SL684P	LINC00884		MIR3907	ZC3H11A	SCARNA20|ENSG00000251861.1	NAA10	ZNF696	RN7SL198P		
	MIR1271	LINC00887		MIR671	TMCC2	RNA5SP75	LCA10	ZFP41	RN7SL232P		
	ARL10	RN7SL215P		IQCA1P1	LRRN2	RNA5SP74	SNORD36|ENSG00000251846.1	LY6K	snoU13|ENSG00000238900.1		
	RN7SKP148	RN7SL447P		CDK5	PLEKHA6	SNRPE	RN7SL687P	JRK	U6|ENSG00000272507.1		
	snoU13|ENSG00000239026.1	snoU13|ENSG00000238902.1		SSPO	NFASC	ZBED6	RN7SL667P	ARC	LINC00710		
	NSG2	RN7SKP222		SNORD112|ENSG00000252557.1	DSTYK	SNORA77|ENSG00000221643.1	snoU13|ENSG00000239037.1	LINC00051	SFTA1P		
	RNA5SP200	RN7SKP296		RN7SL521P	LAX1	RABIF	PNMA6B	SNORD5|ENSG00000238854.1	LINC00709		
	SNORA74B	RN7SL486P		RNY1	ETNK2	PCAT6	PNMA6D	PTP4A3	RNA5SP299		
	ATP6V0E1	MIR944		RNY3	PPP1R15B	SNORA70|ENSG00000253042.1	PNMA6A	RNA5SP278	LINC00708		
	MIR5003	MIR28		RNY4	GOLT1A	U6|ENSG00000272262.1	RN7SL190P	MIR151A	TAF3		
	SNORA57|ENSG00000212529.1	snoU13|ENSG00000239093.1		RNY5	LINC00303	snoU13|ENSG00000239046.1	CETN2	CASC7	LINC00707		
	C5orf50	RTP4		RN7SL569P	TMEM81	snoU13|ENSG00000238571.1	CSAG2	C8orf17	DKFZP667F0711		
	SNORA70|ENSG00000206909.1	SNORA4|ENSG00000263776.1		RN7SL72P		PTPRVP	CSAG4	SNORA25|ENSG00000251744.1	MIR3155A		
	RN7SL339P	SNORA63|ENSG00000200320.1		U3|ENSG00000199370.1		GPR37L1	MAGEA2B	SNORA40|ENSG00000212273.1	RN7SKP78		
	snoU13|ENSG00000252387.1	SNORA81|ENSG00000221420.2		RN7SL456P		SNORA70|ENSG00000206637.1	CSAG3	WISP1	SNORA14		
	RN7SL623P	SNORA63|ENSG00000200418.1		RNA5SP249		MIR1231	GABRQ	HPYR1	RN7SL445P		
	MIR4454	SNORD2|ENSG00000238942.1		RN7SL207P		MIR5191	MIR452	OC90	AKR1C7P		
	KCNMB1	KNG1		RN7SKP174		RPS10P7	MIR224	SNORA72|ENSG00000252158.1	U8|ENSG00000251909.1		
	LCP2	CRYGS		RNU6ATAC40P		ASCL5	U3|ENSG00000253009.1	SNORA12|ENSG00000212342.1	AKR1CL1		
	C5orf58	RN7SL637P		OR2A9P		LINC00862	LINC00894	SNORA25|ENSG00000200075.1	U8|ENSG00000239142.1		
