cytoband	16p13.3	4q22.1	6q26	20p12.1	16q23.1	1p33	3p14.2	5q12.1	3q26.31	18q21.2	1p36.11	6p25.3	4q35.1	10q21.1	8p22	10q23.31	5q22.2	18q12.2	8p23.2	7q31.1	17p12	19p13.3	21q11.2	5q21.1	15q22.33	22q13.32	18q22.1	15q21.1	15q15.2	15q11.2	17q24.3	9p21.3	18p11.31	14q31.1	10q25.2	8q11.1	12p13.2	1p13.1	2q22.1	10p15.3	4p16.2	2p21	3p26.1	13q14.13	
q value	2.8781e-123	8.2698e-48	3.0351e-42	3.768e-42	6.439e-33	2.2676e-36	4.0204e-33	8.0336e-27	1.8013e-23	2.7064e-27	4.7302e-24	7.1067e-19	9.6913e-19	1.2521e-13	6.2829e-14	1.3301e-14	9.3993e-19	1.7033e-16	4.4343e-09	4.5193e-05	5.2506e-05	7.5925e-05	9.899e-05	1.1167e-13	0.00010434	0.00060241	8.975e-18	2.5735e-07	2.3878e-07	1.0065e-06	0.035214	0.037327	0.041611	0.050084	9.4741e-07	0.062382	0.087189	0.00038973	0.13394	0.12928	0.14844	0.15521	0.010931	0.24773	
residual q value	2.8781e-123	3.7685e-45	3.0351e-42	3.768e-42	6.439e-33	1.0923e-32	2.1148e-32	1.5702e-24	1.8013e-23	9.3492e-21	5.5492e-20	7.0658e-19	4.6363e-15	6.7884e-12	3.5237e-10	7.0964e-10	5.8551e-07	7.2764e-06	4.189e-05	4.44e-05	5.3312e-05	7.3024e-05	0.00010149	0.00017919	0.00024982	0.00057513	0.0035391	0.010419	0.017793	0.026776	0.035299	0.038253	0.041729	0.050533	0.056768	0.065041	0.085979	0.11059	0.13215	0.13215	0.14841	0.15543	0.18021	0.24516	
wide peak boundaries	chr16:5144019-7780235	chr4:91271445-93240505	chr6:161693099-163153207	chr20:14301156-15274325	chr16:78098006-79031486	chr1:49615826-50514967	chr3:59701447-61547330	chr5:58998410-59780946	chr3:174345545-175760559	chr18:48472083-48650073	chr1:26527443-27650365	chr6:1608837-2624052	chr4:179280062-186507186	chr10:53057593-53461574	chr8:15092726-16722285	chr10:89313008-90348818	chr5:109202065-114915080	chr18:36593175-39537209	chr8:1-4985851	chr7:110746146-111366370	chr17:11060240-12456081	chr19:1033227-1907478	chr21:1-26470028	chr5:90456284-108085742	chr15:67067796-67494822	chr22:48668761-51304566	chr18:63200038-67073349	chr15:44953604-45299932	chr15:37383162-44164004	chr15:1-40245778	chr17:68173089-70642789	chr9:21524354-22448737	chr18:3277692-5145388	chr14:58447798-107349540	chr10:94837472-135534747	chr8:42883855-47750537	chr12:6885077-18235892	chr1:55527989-149898950	chr2:122037434-168815541	chr10:1-5407870	chr4:1-10442121	chr2:40835958-45880121	chr3:1-21472074	chr13:34674944-71590578	
genes in wide peak	SNORA40|ENSG00000252138.1	RN7SKP248	PARK2	RNA5SP475	PIH1	snoU13|ENSG00000239144.1	U3|ENSG00000212211.1	FKSG52	snoU13|ENSG00000271842.1	RN7SL695P	GPN2	FOXC1	PDLIM3	MIR605	RN7SL474P	SNORD74|ENSG00000200891.1	RN7SKP89	LINC00669	RN7SL872P	snoU13|ENSG00000238922.1	MIR744	MIR1909	RN7SL609P	RN7SKP122	SMAD3	ARSA	CDH7	B2M	HYPK	snoU13|ENSG00000238564.1	LINC00511	RN7SL151P	snoU13|ENSG00000238790.1	RNA5SP389	MIR3944	RN7SKP41	ERP27	HIST2H3A	snoU13|ENSG00000238662.1	AKR1C7P	RNA5SP155	RN7SL414P	RNY4P22	ATXN8OS	
	RBFOX1			FLRT3			NPCDR1	MIR582	MIR4789	SMAD4	ZDHHC18	GMDS	UFSP2	CSTF2T	MSR1	PTEN	RNU4ATAC13P	RN7SKP182	RNA5SP251		RPL21P122	ONECUT3	LINC00308	RN7SL782P		RN7SL500P	CDH19	TRIM69	CATSPER2P1	THBS1	SOX9	CDKN2A	snoU13|ENSG00000238445.1	LINC00221	TUBGCP2	U3|ENSG00000201329.1	ART4	HIST2H2AA3	RN7SKP152	U8|ENSG00000251909.1	MIR3138	SLC3A1	MIR3135A	RNY3P10	
							FHIT		RN7SKP40	ELAC1	RN7SL165P		SNORD79		TUSC3	RN7SL78P	ZRSR1		RPL23AP53		RN7SL601P	UQCR11	LINC00317	SNORA31|ENSG00000252337.1		DENND6B	TMX3	C15orf43	snoU13|ENSG00000238494.1	FAM98B		CDKN2B	RN7SL39P	LINC00226	C10orf91	POTEA	C12orf60	HIST2H3C	RN7SL455P	AKR1CL1	RNA5SP154	snoU13|ENSG00000239052.1	U7|ENSG00000271841.1	RN7SL761P	
											RN7SL501P		RN7SL28P			CFL1P1	SRP19		OR4F21		DNAH9	RN7SL477P	LINC00320	RNA5SP189		TTLL8	CCDC102B	PATL2	snoU13|ENSG00000238535.1	U3|ENSG00000212511.1		MTAP	snoU13|ENSG00000238863.1	ADAM6	BNIP3	FNTA	RN7SKP134	FAM72C	RNA5SP111	U8|ENSG00000239142.1	RNA5SP153	RN7SKP66	LINC00690	LINC00364	
											snoU13|ENSG00000238316.1		snoU13|ENSG00000239116.1			PAPSS2	FLJ11235		CLN8		MAP2K4	NDUFS7	RN7SKP147	RN7SL255P		ALG12	DSEL		RN7SL487P	CSNK1A1P1		C9orf53	TGIF1	KIAA0125	PPP2R2D	SGK196	PLBD1	FCGR1C	RNA5SP110	U8|ENSG00000251740.1	USP17L23	SNORD75|ENSG00000221300.1	DPH3	LINC00355	
											RN7SL679P		snoU13|ENSG00000238596.1			RNLS	SNORA13		MYOM2		ZNF18	C19orf24	RN7SL163P	LINC00491		RN7SKP252	MIR5011		CCNDBP1	MIR3942			DLGAP1	IGHJ1	LINC00959	HGSNAT	RPL30P11	RNA5SP59	SNORA70F	U8|ENSG00000239148.1	USP17L15	snoZ247	RN7SL4P	LINC00395	
											MIR1976		snoU13|ENSG00000238319.1			ATAD1	RN7SKP57		DLGAP2		SHISA6	POLR2E	SNORD74|ENSG00000201025.1	LINC00492		ACR			snoU13|ENSG00000239025.1	ANP32AP1				IGHJ2	MIR4297		RN7SL676P	NBPF15	FIGN	U8|ENSG00000238840.1	FAM90A26	HNRNPA1P57	MIR3134	LINC00448	
