cytoband	9p21.3	1p36.31	4q34.3	2q37.3	11q22.3	3p22.1	16q24.2	14q11.2	11q23.3	6q25.3	19q13.42	19p13.3	22q12.2	2q22.1	2p12	5p15.33	5q35.2	6p12.3	10q21.1	15q13.3	14q24.2	
q value	2.2596e-17	1.462e-09	0.0001377	5.174e-05	1.0855e-06	0.0024404	0.0042101	0.0050848	2.839e-05	0.054498	0.054726	0.058467	0.057928	0.014385	0.08832	0.09673	0.11554	0.11427	0.1975	0.2062	0.085174	
residual q value	2.2596e-17	1.462e-09	0.0001377	0.00035375	0.00046508	0.002385	0.0044257	0.0075781	0.0093742	0.053404	0.053404	0.058117	0.058117	0.069402	0.08832	0.096799	0.12162	0.12162	0.20764	0.20764	0.25777	
wide peak boundaries	chr9:21626574-22448737	chr1:1-29472434	chr4:179280062-183067669	chr2:215795572-243199373	chr11:98886288-117696649	chr3:41280645-41732267	chr16:76501610-90354753	chr14:20501369-21855250	chr11:101318898-135006516	chr6:144604464-171115067	chr19:36730042-59128983	chr19:1171151-4230222	chr22:29969457-30128393	chr2:140708948-143637838	chr2:1-98931728	chr5:1-31329532	chr5:93063923-180915260	chr6:44235214-70508162	chr10:49889860-69836432	chr15:1-64450037	chr14:1-107349540	
genes in wide peak	RN7SL151P	SCARNA24|ENSG00000252777.1	RN7SKP13	CXXC11	SCARNA11|ENSG00000252992.1	SCARNA21|ENSG00000252409.1	FAM157C	LINC00641	snoU13|ENSG00000238693.1	MIR4644	RN7SL525P	RN7SL84P	NF2	RN7SL283P	COX5B	RN7SKP207	TRIM52	RNA5SP208	RN7SL220P	USP3	RNA5SP389	
	CDKN2A	RNU11	LINC00290	RNA5SP122	PCSK7		TUBB8P7	RNASE8	RNU6ATAC12P	TCP10	RN7SL693P	PIAS4	CABP7	LRP1B	ANKRD36B	SNORA18|ENSG00000252601.1	SNORD95|ENSG00000264549.1	SNORD65|ENSG00000212229.1	RN7SL394P	CA12	LINC00221	
	CDKN2B	RAB42	SNORD65|ENSG00000212191.1	MIR3133	RNY4P6		URAHP	RN7SL189P	RN7SL167P	TTLL2	RNA5SP473	SNORD37|ENSG00000206775.1			RN7SL313P	SNORD29	SNORD96A	FKBP1C	LRRTM3	MIR190A	LINC00226	
	MTAP	SNORD99	RNA5SP173	RNPEPL1	ZNF259		TUBB3	PNP	LINC00167	GPR31	RN7SL526P	MIR637			snoU13|ENSG00000238760.1	SNORA40|ENSG00000252083.1	LINC00847	LINC00680	snoU13|ENSG00000239000.1	RN7SL613P	ADAM6	
	C9orf53	SNHG12		MIR149	snoU13|ENSG00000238625.1		SNORD68	RNA5SP382	KCNJ5	FGFR1OP	ZNF417	RN7SL202P			RNA5SP101	C5orf17	MIR340	PRIM2	snoR442|ENSG00000252203.1	RNA5SP397	KIAA0125	
		snoU13|ENSG00000238821.1		MIR2467	LINC00900		SLC22A31	RPPH1	RN7SKP279	MIR1913	ZNF814	SNORD38|ENSG00000252408.1			CNNM3	RN7SL572P	RN7SKP150	RAB23	MIR1296	RNA5SP396	IGHJ1	
		SNORA73B		MIR4441	snoU13|ENSG00000239153.1		MIR4722	SNORD126	RN7SKP121	SFT2D1	ZNF134	FZR1			MIR3127	GUSBP1	MIR1229	BAG2	RN7SL591P	snoU13|ENSG00000238767.1	IGHJ2	
		RNU6ATAC27P		MIR4440	ACA59|ENSG00000252870.1		MIR5189	SNORA79|ENSG00000222489.1	MIR3167	SNORD45|ENSG00000231297.2	ZNF548	RN7SL866P			FER1L5	snoU13|ENSG00000238674.1	HMGB3P22	FAM83B	LINC00845	MIR2116	IGHJ3	
		RN7SL559P		FAM132B	snoU13|ENSG00000238724.1		ZFPM1	TTC5	snoU13|ENSG00000238855.1	LINC00473	ZNF805	GNA11			CIAO1	RN7SL58P	RN7SL71P	RN7SKP256	LINC00948	C15ORF31	IGHJ4	
		SCARNA1		SNORD39|ENSG00000263723.1	ATF4P4		ZNF469	OR11H7	RN7SL351P	SDIM1	ZNF264	ZNF554			TMEM127	SNORD81|ENSG00000212278.1	ZNF879	U3|ENSG00000251930.1	LINC00844	U3|ENSG00000200318.1	IGHJ5	
		GPN2		RBM44	snosnR66		FLJ00104	RNA5SP381	KRT18P59	RNA5SP226	DUXA	SPPL2B			FAHD2CP	FTH1P10	ZNF354B	RN7SL244P	RN7SKP196	RN7SKP95	IGHJ6	
		ZDHHC18		COPS8	C11orf34		FBXO31	RNA5SP380	SLC37A2	RN7SL366P	U3|ENSG00000252683.1	LINGO3			RN7SL210P	RN7SKP133	AACSP1	RN7SK	snoU13|ENSG00000238970.1	snoU13|ENSG00000239100.1	IGHM	
		RN7SL165P		RN7SL204P	SDHD		snoU13|ENSG00000239186.1	ANG	RNA5SP352	CAHM	MIMT1	MIR4321			ANKRD36C	RNA5SP180	RN7SKP70	GSTA1	SNORD2|ENSG00000238707.1	MYZAP	IGHD	
		RN7SL501P		MSL3P1	RNA5SP351		FENDRR	APEX1	TBRG1	snoU13|ENSG00000239136.1	SMIM17	MIR1227			LINC00342	RNA5SP179	RN7SL646P	RN7SL580P	snoU13|ENSG00000238355.1	LINC00926	IGHG3	
		snoU13|ENSG00000238316.1		DNAJB3	HSPB2		LINC00917	HNRNPC	OR10D3	AIRN	ZNF71	RN7SL226P			FLJ14082	RNA5SP178	RN7SL562P	SNORD66|ENSG00000212532.1	MIR548F1	snoU13|ENSG00000239035.1	IGHG1	
