rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	1051659	29	29	23	2	0	2	5	4	17	1	1.37e-14	0.232	0.00979	0.000311	0.000199	1.11e-16	1.88e-12
2	CBFB	core-binding factor, beta subunit	459284	23	23	21	1	1	0	6	4	12	0	3.00e-15	0.113	0.00570	0.118	0.00859	9.99e-16	2.12e-12
3	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3200341	351	316	53	6	5	134	16	183	13	0	<1.00e-15	<1.00e-15	0.000	0.000	0.000	<1.00e-15	<2.12e-12
4	TP53	tumor protein p53	1238133	299	296	161	4	45	22	38	67	127	0	3.55e-15	<1.00e-15	0.000	0.000	0.000	<1.00e-15	<2.12e-12
5	GATA3	GATA binding protein 3	998421	100	97	56	2	1	1	2	5	90	1	1.89e-15	0.352	0.000	0.406	0.000	<1.00e-15	<2.12e-12
6	FOXA1	forkhead box A1	1009017	23	23	16	0	1	8	3	7	3	1	1.05e-14	0.00969	2.00e-07	0.0509	0.000	<1.00e-15	<2.12e-12
7	SF3B1	splicing factor 3b, subunit 1, 155kDa	3939945	16	16	9	2	0	2	1	12	1	0	0.00228	0.173	0.000	0.0265	0.000	<1.00e-15	<2.12e-12
8	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	699445	2	2	2	0	0	0	0	1	1	0	0.277	0.507	0.492	0.000	0.000	<1.00e-15	<2.12e-12
9	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1212494	35	35	32	0	0	3	3	7	21	1	6.88e-15	0.0215	0.00243	0.751	0.00528	1.44e-15	2.72e-12
10	MAP2K4	mitogen-activated protein kinase kinase 4	1094202	32	32	28	0	3	2	5	2	20	0	<1.00e-15	0.0102	0.116	0.503	0.209	<7.77e-15	<1.32e-11
11	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2544201	109	107	90	1	4	7	4	1	93	0	<1.00e-15	6.69e-07	0.216	0.731	0.311	<1.14e-14	<1.76e-11
12	TBX3	T-box 3 (ulnar mammary syndrome)	1280215	27	27	26	1	4	2	1	1	19	0	6.44e-15	0.130	0.0354	0.832	0.0666	1.57e-14	2.21e-11
13	MAP3K1	mitogen-activated protein kinase kinase kinase 1	4026466	80	71	72	1	1	3	5	7	46	18	3.11e-15	0.0122	0.747	0.687	1.000	1.07e-13	1.40e-10
14	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3493901	21	20	14	2	3	7	3	8	0	0	4.14e-06	0.0445	2.34e-05	0.00106	5.20e-06	5.50e-10	6.67e-07
15	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	500131	10	10	9	1	0	0	0	0	8	2	2.80e-09	0.586	0.163	0.652	0.303	1.86e-08	2.10e-05
16	HIST1H3B	histone cluster 1, H3b	380829	11	11	11	2	3	3	2	1	2	0	7.83e-08	0.242	0.0221	0.175	0.0193	3.22e-08	3.42e-05
17	NCOR1	nuclear receptor co-repressor 1	7287573	41	40	39	2	2	10	5	2	22	0	8.55e-09	0.0296	0.513	0.264	0.644	1.10e-07	0.000110
18	GPS2	G protein pathway suppressor 2	948419	10	10	10	1	0	0	0	0	10	0	4.01e-07	0.799	0.0231	0.139	0.0171	1.36e-07	0.000128
19	AQP12A	aquaporin 12A	324535	6	6	4	0	0	1	2	3	0	0	4.66e-06	0.198	0.556	0.00317	0.0128	1.05e-06	0.000937
20	ACTL6B	actin-like 6B	1186698	10	10	6	0	2	0	1	0	7	0	1.13e-05	0.306	0.00380	0.985	0.00731	1.43e-06	0.00122
21	RB1	retinoblastoma 1 (including osteosarcoma)	2645506	22	19	21	3	1	1	1	2	17	0	1.25e-07	0.498	0.737	0.573	0.827	1.76e-06	0.00142
22	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2281896	15	14	14	2	0	2	2	4	6	1	0.000657	0.619	6.90e-05	0.459	0.000194	2.15e-06	0.00166
23	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	689307	6	6	3	0	0	1	5	0	0	0	0.000135	0.402	0.00171	0.0589	0.00142	3.15e-06	0.00233
24	ZFP36L2	zinc finger protein 36, C3H type-like 2	360184	7	7	7	1	3	0	1	0	3	0	2.45e-06	0.438	0.238	0.293	0.334	1.23e-05	0.00869
25	ZFP36L1	zinc finger protein 36, C3H type-like 1	908013	8	8	8	0	0	0	1	1	6	0	2.23e-05	0.505	0.0171	0.544	0.0448	1.48e-05	0.0100
26	FAM86B1	family with sequence similarity 86, member B1	335001	7	6	6	1	3	2	0	1	1	0	1.39e-06	0.333	0.486	0.475	0.816	1.67e-05	0.0109
27	FBXW7	F-box and WD repeat domain containing 7	2522313	15	15	13	1	5	4	1	3	2	0	1.70e-05	0.153	0.139	0.0374	0.0782	1.93e-05	0.0122
28	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1550025	10	10	8	0	0	2	0	1	5	2	5.57e-06	0.352	0.270	0.806	0.446	3.46e-05	0.0210
29	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2261316	12	12	12	0	1	0	2	1	8	0	4.37e-05	0.227	0.139	0.0406	0.0684	4.10e-05	0.0240
30	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa	738145	3	3	3	1	0	0	0	1	2	0	0.207	0.729	0.000211	0.667	1.58e-05	4.46e-05	0.0252
31	CTCF	CCCTC-binding factor (zinc finger protein)	2152284	17	17	15	3	1	3	1	5	7	0	0.00515	0.527	0.00784	0.000697	0.000788	5.45e-05	0.0298
32	CASP8	caspase 8, apoptosis-related cysteine peptidase	1709033	10	10	10	1	1	1	1	3	4	0	0.000108	0.255	0.0338	0.178	0.0428	6.14e-05	0.0318
33	TCP10	t-complex 10 homolog (mouse)	729598	10	8	7	0	5	0	2	2	1	0	3.21e-05	0.0472	0.0774	0.830	0.145	6.18e-05	0.0318
