cytoband	9p21.3	11p15.1	19q13.42	2q37.3	10q26.3	4q34.3	14q24.3	13q14.2	11p15.5	Xq21.1	5q34	1p36.32	1p32.3	5p15.33	3q29	3p21.31	12q12	18q23	6p25.3	22q13.31	8q24.3	9p23	6q22.31	7p22.3	3q13.31	1q43	13q34	12p13.1	6q26	
q value	2.2203e-106	1.0683e-75	1.4433e-28	1.4015e-20	4.3789e-20	8.736e-18	1.1681e-13	5.4722e-09	1.5339e-13	1.4358e-07	1.86e-07	8.2887e-06	1.3986e-05	0.0003285	4.7283e-05	0.00089193	0.00097114	0.0021974	0.0037769	0.0042376	0.014004	2.8108e-14	0.0054594	0.077684	0.04374	0.11599	0.025531	0.13677	0.0022414	
residual q value	7.9386e-99	4.6495e-68	1.4433e-28	1.4015e-20	4.3789e-20	8.736e-18	1.1594e-13	1.348e-08	3.3077e-08	1.54e-07	1.8408e-07	4.8598e-05	0.00015497	0.00034017	0.0005126	0.00086114	0.00097183	0.002178	0.0037769	0.0042897	0.013639	0.019611	0.022587	0.075771	0.11305	0.11599	0.13068	0.1406	0.4309	
wide peak boundaries	chr9:21931610-22448737	chr11:16623557-16799846	chr19:54037464-58050128	chr2:240317967-243199373	chr10:120512840-135534747	chr4:179280062-183067669	chr14:62199756-92796406	chr13:47011303-66543128	chr11:2441018-2892511	chrX:76710176-77102528	chr5:150946437-176309853	chr1:3814904-5625565	chr1:50879767-51529064	chr5:1-7397749	chr3:194406201-198022430	chr3:43727913-54667435	chr12:40011946-47477314	chr18:75573485-78077248	chr6:1-2666040	chr22:42289318-51304566	chr8:144486368-146364022	chr9:7887952-12687261	chr6:108580209-163152562	chr7:1-4687172	chr3:90078624-137237176	chr1:211306170-249250621	chr13:114630958-115169878	chr12:12262379-14509803	chr6:126359233-171115067	
genes in wide peak	CDKN2A	C11orf58	ZNF548	CXXC11	MIR3944	RN7SKP13	NDUFB1	LINC00355	KCNQ1OT1	ATRX	EIF4E1B	AJAP1	MIR4421	RNA5SP176	FAM157A	CHDH	SCAF11	RBFA	C6orf195	ARSA	ZNF252P	RN7SL5P	AIRN	RN7SKP130	RNA5SP142	PGBD2	MIR548AR	RN7SL676P	MIR4644	
	CDKN2B		ZNF805	RNA5SP122	TUBGCP2	LINC00290	U3|ENSG00000200042.1	LINC00395	KCNQ1		MIR4281	MIR4417	CDKN2C	RN7SKP79	FYTTD1	SNORD63|ENSG00000251987.1	RN7SL246P	RBFADN	RN7SL352P	RN7SL500P	RN7SL395P	SNORD27|ENSG00000251699.1	SNORA29	snoU13|ENSG00000238857.1	RNY4P4	LYPD8	CDC16	RN7SL46P	TCP10	
	C9orf53		ZNF264	MIR3133	C10orf91	SNORD65|ENSG00000212191.1	RN7SL506P	LINC00448			RN7SL684P		FAF1	UBE2QL1	snoU13|ENSG00000238491.1	SNORA26|ENSG00000212608.1	RNA5SP361	SALL3	snoU13|ENSG00000238438.1	DENND6B	C8orf82	PTPRD	SNORA20|ENSG00000207392.1	MIR4648	U8|ENSG00000253004.1	OR2T7	RASA3	RN7SKP162	TTLL2	
			DUXA	RNPEPL1	BNIP3	RNA5SP173	SNORA11B	LINC00459			MIR1271		DMRTA2	RN7SKP73	MIR4797	SNORD38|ENSG00000207109.1	SNORA74|ENSG00000252917.1	RNA5SP461	FOXF2	TTLL8	MIR1234		RNU4ATAC18P	GRIFIN	RNA5SP141	OR2AJ1	UPF3A	GRIN2B	GPR31	
			U3|ENSG00000252683.1	MIR149	PPP2R2D		LINC00642	LINC00358			ARL10			NDUFS6	U4|ENSG00000272359.1	RN7SL821P	RN7SL10P	NFATC1	FOXC1	ALG12	MIR939		C6orf99	MIR4655	KY	TRIM58	CHAMP1	RNA5SP353	FGFR1OP	
			MIMT1	AGXT	LINC00959		RN7SKP255	RNY4P31			RN7SKP148			SDHAP3	RN7SL738P	snoU13|ENSG00000238565.1	RNA5SP360	CTDP1	GMDS	RN7SKP252	TMEM249		RN7SL173P	ELFN1	RPL39P5	OR1C1	MIR4502	HTR7P1	MIR1913	
			SMIM17	KIF1A	MIR4297		RN7SKP107	RNY3P5			snoU13|ENSG00000239026.1			MIR4635	RN7SL434P	MUSTN1	MUC19	TXNL4A	IRF4	CDPF1	DGAT1		MIR3692	UNCX	RNA5SP140	OR14K1		SNORD88	SFT2D1	
			ZNF71	BOK	MGMT		KCNK10	LINC00378			NSG2			ZDHHC11B	UBXN7	SNORD69	SNORA22|ENSG00000199571.1	ADNP2	EXOC2	C22orf26	SCXA		snoU13|ENSG00000252609.1	MIR339	TFP1	OR14A2		GPRC5A	SNORD45|ENSG00000231297.2	
			ZSCAN5D	DTYMK	NPS		GPR65	RNA5SP31			RNA5SP200			CCDC127	SDHAP1	SNORD19|ENSG00000222345.1	CNTN1	KCNG2	DUSP22	LINC00899	SCXB		SNORD28|ENSG00000212295.1	COX19	SNORA33|ENSG00000201827.1	OR2W5		MIR613	LINC00473	
			ZSCAN5C	GPC1	SNORD60|ENSG00000199321.1		LINC00911	LINC00434			SNORA74B			LRRC14B	RN7SL773P	SNORD19B|ENSG00000238862.1	NELL2	PQLC1	FOXQ1	MIR4762	MIR661		TFB1M	FAM20C	snoU13|ENSG00000238701.1	RNA5SP82		DUSP16	SDIM1	
			RFPL4AL1	GPR35	RNA5SP328		RNU3P3	RNY4P28			ATP6V0E1			PLEKHG4B	LINC00969	SNORD19|ENSG00000212493.1	TWF1	PARD6G	HUS1B	MIR1249	EPPK1		U8|ENSG00000238963.1	GNA12	MIR5704	MIR3916		LOH12CR2	RNA5SP226	
			RN7SKP109	HDLBP	MIR4296		RNU6ATAC28P	RN7SL375P			MIR5003			SDHA	RNU6ATAC24P	SNORD19B|ENSG00000252787.1	YAF2	ATP9B		LINC00229	MIR937		CNKSR3	GPER	SNORA58|ENSG00000249020.1	ZNF670		CDKN1B	RN7SL366P	
			CCDC106	NDUFA10	METTL10		snoU13|ENSG00000238978.1	RNY4P29			SNORA57|ENSG00000212529.1			SLC6A3	RN7SL36P	RNU6ATAC16P	PDZRN4	HSBP1L1		SCUBE1	CCDC166		RNA5SP225	LFNG	RN7SKP212	SNORA25|ENSG00000252011.1		CREBL2	CAHM	
			TMEM238	SEPT2	GPR26		SNORA79|ENSG00000221303.1	RNA5SP30			C5orf50			SLC9A3	MIR3137	SMIM4	PLEKHA8P1			RNU12	7SK|ENSG00000254144.2		RNA5SP224	NUDT1	COL6A4P2	SNORD112|ENSG00000252495.1		EMP1	snoU13|ENSG00000239136.1	
			SYT5	PDCD1	MIR3941		NRXN3	RN7SKP6			SNORA70|ENSG00000206909.1			SRD5A1	APOD	MIRLET7G	IRAK4			RN7SKP80	CYC1		RNA5SP223	PDGFA	FAM86HP	RN7SKP55		GPR19	AIRN	
			snoU13|ENSG00000239137.1	PPP1R7	RN7SKP167		RNA5SP388	snoU13|ENSG00000238455.1			RN7SL339P			TERT	BDH1	TLR9	PPHLN1			RRP7B	EEF1D		snoU13|ENSG00000238939.1	PRKAR1B	ALG1L2	RN7SL148P		LRP6	SNORA29	
			KIR3DX1	FARP2	RN7SL846P		RN7SL587P	LINC00458			snoU13|ENSG00000252387.1			TRIP13	DLG1	LINC00696	SLC38A2			RRP7A	GPT		RN7SKP268	MAFK	RN7SL752P	MIR4677		HEBP1	SNORA20|ENSG00000207392.1	
			LILRA6	STK25	TIAL1		SNORA46|ENSG00000212371.1	LINC00558			RN7SL623P			PDCD6	MFI2	ACY1	SLC38A4			snoU13|ENSG00000238498.1	GRINA		RNY4P20	MAD1L1	SNORA7B	RN7SKP12		DDX47	RNU4ATAC18P	
			LENG1	CAPN10	MIR4681		FKSG61	RN7SL618P			MIR4454			SLC12A7	MUC4	RN7SL504P	ADAMTS20			LINC00634	HSF1		snoU13|ENSG00000238594.1	EIF3B	RPL32P3	RNA5SP81		MANSC1	C6orf99	
			NDUFA3	PASK	RN7SL749P		SAMD15	SUGT1			KCNMB1			PAPD7	PAK2	IQCF6	SLC38A1			SHISA8	TONSL		RAET1K	ADAP1	snoU13|ENSG00000238874.1	CHRM3		GPRC5D	RN7SL173P	
			MIR935	ATG4B	FAM45A		RN7SL137P	LINC00345			LCP2			TPPP	PCYT1A	RNA5SP132	PUS7L			MIR33A	PLEC		SNORA2|ENSG00000202343.1	IQCE	snoU13|ENSG00000252435.1	MTRNR2L11		KIAA1467	MIR3692	
			MIR371B	SNED1	SNORA19|ENSG00000222588.1		TMED8	RNY4P24			C5orf58			EXOC3	PPP1R2	RNU6ATAC29P	TMEM117			ACR	RPL8		GINM1	SUN1	RN7SL698P	ZP4		APOLD1	snoU13|ENSG00000252609.1	
			RN7SL317P	ANO7	SNORA19|ENSG00000207468.1		SNORA32|ENSG00000201384.1	RN7SL413P			MIR378E			KIAA0947	RPL35A	VPRBP	ZCRB1			BIK	TSTA3		ZC3H12D	INTS1	SNORA24|ENSG00000207130.1	SNORA25|ENSG00000252290.1		GSG1	SNORD28|ENSG00000212295.1	
			FCAR	THAP4	U3|ENSG00000251836.1		RN7SL356P	RNY1P6			MIR585			IRX4	TFRC	RNA5SP131	SLC2A13			TSPO	ZNF7		RN7SL234P	SNX8	MIR1280	MIR4428		LOH12CR1	TFB1M	
