rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	SETD2	SET domain containing 2	7777	11	0	1	5	2	1	10	18	16	18	7.746756e-10	7.600000e-02	1.970000e-01	6.112366e-10	8.992094e-06
2	NF2	neurofibromin 2 (merlin)	1894	131	0	0	1	2	3	4	10	10	10	1.178597e-10	1	3.060000e-01	1.226910e-09	8.992094e-06
3	ZNF814	zinc finger protein 814	2576	78	0	0	10	1	0	2	13	9	5	6.019101e-06	1.000000e-05	6.620900e-01	1.476696e-09	8.992094e-06
4	MET	met proto-oncogene (hepatocyte growth factor receptor)	4307	15	0	0	21	0	0	1	22	21	14	1.082748e-05	1.000000e-05	2.000000e-05	2.592786e-09	1.184125e-05
5	NEFH	neurofilament, heavy polypeptide 200kDa	3077	3	0	0	1	0	0	6	7	6	6	3.371964e-08	5.200000e-02	7.980000e-01	4.790729e-08	1.750341e-04
6	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	445	0	0	5	0	0	0	5	5	1	3.290850e-04	1.000000e-05	2.108300e-01	6.756813e-08	2.057224e-04
7	CUL3	cullin 3	2367	3	0	0	4	4	1	3	12	10	11	5.287821e-07	1.560000e-01	9.990000e-01	1.744910e-06	4.553718e-03
8	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	4728	21	0	2	12	0	0	0	12	11	9	1.685949e-03	4.000000e-05	9.743200e-01	2.000667e-06	4.568523e-03
9	BCLAF1	BCL2-associated transcription factor 1	2807	15	0	1	3	0	2	1	6	6	4	1.330111e-03	1.300000e-04	6.571100e-01	4.494563e-06	9.122963e-03
10	PAM	peptidylglycine alpha-amidating monooxygenase	3021	7	0	0	3	0	0	2	5	3	5	5.565949e-02	1.000000e-05	4.719600e-01	8.572356e-06	1.565998e-02
11	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	1190	0	0	0	2	0	0	4	6	6	5	1.795413e-05	4.900000e-02	9.000000e-01	1.563296e-05	2.396150e-02
12	KDM6A	lysine (K)-specific demethylase 6A	4318	16	0	0	1	3	1	6	11	10	11	1.067075e-06	1	7.830000e-01	1.573998e-05	2.396150e-02
13	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	2813	3	0	1	16	0	0	0	16	13	9	1.186211e-01	1.000000e-05	1	1.737176e-05	2.441133e-02
14	TP53	tumor protein p53	1889	219	0	0	5	1	0	1	7	7	7	2.981777e-05	1	7.800000e-02	6.103239e-05	6.382661e-02
15	KRTAP4-5	keratin associated protein 4-5	548	774	0	0	4	0	0	1	5	5	4	2.896405e-03	1.150000e-03	8.952000e-01	6.332870e-05	6.382661e-02
16	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	60	0	1	2	0	1	1	4	4	3	1.494642e-02	6.800000e-03	1.706000e-02	6.337510e-05	6.382661e-02
17	KIAA0922	KIAA0922	4971	17	0	0	2	2	1	0	5	5	5	2.441754e-05	1	1.550000e-01	6.371067e-05	6.382661e-02
18	KRT2	keratin 2 (epidermal ichthyosis bullosa of Siemens)	1954	146	0	0	2	0	0	3	5	5	4	3.093214e-03	1.820000e-02	2.000000e-02	6.540933e-05	6.382661e-02
19	ALMS1	Alstrom syndrome 1	12592	21	0	4	8	1	0	1	10	8	6	5.028991e-01	1.000000e-05	8.150000e-03	6.638414e-05	6.382661e-02
20	GXYLT1	glucoside xylosyltransferase 1	1351	46	0	0	3	0	0	1	4	4	3	4.300589e-04	1.500000e-02	7.680000e-01	8.354728e-05	7.631209e-02
21	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	932	79	0	0	4	0	0	3	7	7	7	2.069956e-05	1	3.200000e-01	1.119301e-04	9.472553e-02
22	PBRM1	polybromo 1	5418	26	0	0	3	2	2	5	12	11	12	9.164341e-06	1	8.090000e-01	1.154724e-04	9.472553e-02
23	CCBL2	cysteine conjugate-beta lyase 2	2586	67	0	0	1	1	0	2	4	2	4	9.491562e-02	1.000000e-04	9.311800e-01	1.192625e-04	9.472553e-02
24	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	322	0	0	2	1	1	4	8	7	8	1.509225e-05	1	9.560000e-01	1.826363e-04	1.331555e-01
25	SAV1	salvador homolog 1 (Drosophila)	1168	87	0	0	2	1	0	4	7	6	7	1.550001e-05	1	9.970000e-01	1.871575e-04	1.331555e-01
26	CALCR	calcitonin receptor	1583	27	0	0	2	0	0	2	4	3	3	1.571294e-01	1.000000e-04	7.326000e-02	1.895141e-04	1.331555e-01
27	IGSF3	immunoglobulin superfamily, member 3	3685	11	0	0	2	0	2	0	4	4	4	2.749667e-05	1	9.740000e-01	3.162515e-04	2.137452e-01
28	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	72	0	0	6	0	0	0	6	6	6	7.145186e-03	2.780000e-02	4.830000e-02	3.276147e-04	2.137452e-01
29	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	1127	453	0	0	5	1	0	1	7	7	7	3.294404e-05	1	3.370000e-01	3.729496e-04	2.349325e-01
30	FNIP2	folliculin interacting protein 2	3409	57	0	1	3	0	1	2	6	6	6	4.377080e-04	1	5.800000e-02	4.477898e-04	2.726741e-01
31	ZNF628	zinc finger protein 628	3172	110	0	0	2	0	0	2	4	2	4	4.550832e-02	1.983333e-02	1.616667e-02	5.307157e-04	3.029725e-01
