gene	Nnon	Nsil	Nflank	nnon	npat	nsite	nsil	nflank	nnei	fMLE	p	score	time	q
MAP3K1	3153762	896134	375727	100	72	88	1	0	9	1.026994e+00	0	3.948972e+02	1.097572e+00	0
PIK3CA	2567890	657032	399432	355	320	53	6	0	20	1.397071e+00	0	1.039578e+03	1.225173e+00	0
PTEN	962090	231138	175506	37	36	33	0	0	20	6.072853e-01	0	1.954662e+02	1.342933e+00	0
TP53	933660	272688	204824	305	302	161	4	0	4	1.557556e+00	0	1.308818e+03	1.057822e+00	0
GATA3	838770	267736	80348	101	97	56	2	0	20	1.226112e+00	2.220446e-16	6.207338e+02	1.059718e+00	8.105072e-13
CBFB	403230	101812	91860	23	23	21	1	0	20	8.970759e-01	8.104628e-15	1.268127e+02	1.040994e+00	2.431522e-11
RUNX1	759778	238108	196803	32	31	23	2	0	13	9.589712e-01	9.436896e-15	1.712081e+02	1.414318e+00	2.431522e-11
CDH1	1930552	574028	348772	110	108	90	1	1	20	8.257889e-01	1.199041e-14	6.307105e+02	9.382130e-01	2.431522e-11
MAP2K4	875392	226264	296010	32	32	28	0	1	10	1.695874e+00	1.254552e-14	1.665972e+02	1.195606e+00	2.431522e-11
TBX3	993712	282490	127511	27	27	26	1	0	1	4.425629e-01	1.332268e-14	1.363880e+02	1.026724e+00	2.431522e-11
NCOR1	5631684	1643068	884710	41	40	39	2	0	1	3.237138e-01	7.626122e-13	1.643519e+02	1.005550e+00	1.186887e-09
RB1	2813992	742030	501072	22	19	21	3	0	20	8.709131e-01	7.803758e-13	1.045836e+02	1.760103e+00	1.186887e-09
FOXA1	805962	236054	42763	24	23	16	0	0	20	1.500883e+00	1.251554e-12	8.805447e+01	8.514960e-01	1.757086e-09
GPS2	876362	253916	203532	10	10	10	1	0	20	9.878955e-01	1.887100e-10	6.620288e+01	8.821670e-01	2.460105e-07
CTCF	1742838	446576	204861	17	17	15	3	0	20	9.606656e-01	6.439190e-10	8.010263e+01	8.517110e-01	7.834777e-07
CDKN1B	459456	127458	170292	12	10	11	1	0	20	2.191605e+00	5.477242e-09	6.330990e+01	1.032408e+00	6.247821e-06
TBL1XR1	1054076	287478	178905	12	10	10	0	0	20	1.019332e+00	1.435829e-07	5.584775e+01	4.027319e+00	1.541489e-04
HIST1H3B	303322	101764	24522	11	11	11	2	0	20	1.474839e+00	4.161675e-07	4.461327e+01	8.735810e-01	4.219708e-04
ZFP36L1	754844	242066	45128	8	8	8	0	1	20	8.857944e-01	6.067954e-07	4.854284e+01	9.670580e-01	5.828749e-04
DNAH12	1068082	277640	199198	19	16	19	3	2	20	1.252106e+00	7.491176e-07	5.497544e+01	1.046642e+00	6.836073e-04
TMEM151B	160056	49400	22198	6	6	6	0	0	20	9.980379e-01	2.388510e-06	2.840536e+01	1.259691e+00	2.075842e-03
MYH9	4581782	1230168	814449	21	19	20	5	0	20	6.389339e-01	2.531145e-06	8.058721e+01	1.015076e+00	2.099815e-03
CASP8	1438546	336908	214887	10	10	10	1	2	20	6.252181e-01	5.360924e-06	4.590248e+01	9.649570e-01	4.254010e-03
ARID1A	4413420	1300214	380578	28	27	26	3	0	2	1.131088e+00	9.142633e-06	1.154088e+02	1.150380e+00	6.952592e-03
MYB	1796172	490048	359321	12	12	12	0	0	20	1.402250e+00	1.129609e-05	6.216519e+01	1.627988e+00	8.246600e-03
FAM86B1	250892	80010	22754	7	6	6	1	5	20	9.942351e-01	1.589154e-05	2.797527e+01	8.500620e-01	1.115525e-02
OR2T35	232096	74070	1165	4	4	2	0	0	20	8.865073e-01	1.998850e-05	2.577725e+01	9.897900e-01	1.351148e-02
GRHL2	1523490	385320	330070	9	9	9	0	0	20	5.591188e-01	2.879619e-05	4.240016e+01	1.058013e+00	1.876998e-02
PIK3R1	1841698	473264	350187	16	14	15	2	1	20	1.373203e+00	3.068558e-05	6.084928e+01	9.005350e-01	1.931181e-02
GPRIN2	929666	316148	10480	11	11	7	2	0	20	1.054076e+00	4.452553e-05	4.137849e+01	9.013110e-01	2.708785e-02
HMGB3	484078	111638	79902	6	6	4	0	0	12	8.959517e-01	6.103068e-05	3.147642e+01	8.825340e-01	3.593132e-02
AQP12A	297418	104740	29652	7	7	4	0	0	20	1.247907e+00	9.802252e-05	2.747068e+01	9.792470e-01	5.590653e-02
COL6A5	1336632	351514	85032	26	21	26	12	0	7	2.578207e+00	1.051004e-04	6.660420e+01	8.504410e-01	5.812689e-02
NF1	9299368	2606410	1203926	30	28	29	3	0	0	3.918379e-01	1.119602e-04	1.187004e+02	1.201991e+00	5.948034e-02
ANKRD12	4840368	1206378	240923	19	18	19	1	0	17	7.975112e-01	1.140656e-04	7.267607e+01	8.792250e-01	5.948034e-02
FBXW7	1918732	526610	241241	15	15	13	1	0	20	1.045725e+00	1.354155e-04	5.037560e+01	9.688140e-01	6.865188e-02
HRNR	4671810	1546400	43849	34	31	28	9	0	20	1.476504e+00	1.709189e-04	9.590157e+01	8.856480e-01	8.359265e-02
SHISA4	405086	122512	84904	5	5	5	1	0	20	1.132837e+00	1.754976e-04	2.742184e+01	1.060191e+00	8.359265e-02
ZFP36L2	499934	161032	15754	7	7	7	1	0	20	1.182831e+00	1.802127e-04	3.350239e+01	8.974390e-01	8.359265e-02
