cytoband	7q31.2	2q32.1	5q35.3	2p23.2	17q23.2	3q26.31	7p11.2	
q value	0.0001518	0.0016379	0.069756	0.13274	0.14801	0.15981	0.18303	
residual q value	0.0001518	0.0016379	0.069756	0.13274	0.14801	0.15981	0.18303	
wide peak boundaries	chr7:115065872-116807349	chr2:185805454-186960953	chr5:136441083-180915260	chr2:27910707-28747666	chr17:43511539-81195210	chr3:145785598-198022430	chr7:56595049-57921703	
genes in wide peak	RNA5SP239	U8|ENSG00000212581.1	TRIM52	FOSL2	MIR4525	FAM157A	RN7SL816P	
	CAPZA2	FSIP2	SNORD95|ENSG00000264549.1	MIR4263	RAB40B	FYTTD1	ZNF479	
	snoZ185		SNORD96A	RBKS	snoU13|ENSG00000238403.1	snoU13|ENSG00000238491.1	ZNF716	
	SNORA25|ENSG00000202377.1		LINC00847	MRPL33	snoU13|ENSG00000238947.1	MIR4797	MIR3147	
	CAV1		MIR340	BRE	DUS1L	U4|ENSG00000272359.1		
	CAV2		RN7SKP150	SLC4A1AP	PCYT2	RN7SL738P		
	MET		MIR1229	PLB1	SLC25A10	RN7SL434P		
	ST7		HMGB3P22		LINC00482	UBXN7		
	TFEC		RN7SL71P		MIR1250	SDHAP1		
	TES		ZNF879		MIR657	RN7SL773P		
			ZNF354B		MIR4730	LINC00969		
			AACSP1		CBX8	RNU6ATAC24P		
			RN7SKP70		snoU13|ENSG00000239173.1	RN7SL36P		
			RN7SL646P		ENGASE	MIR3137		
			RN7SL562P		DDC8	LINC00884		
			EIF4E1B		RN7SL454P	LINC00887		
			MIR4281		SNORA30|ENSG00000200063.1	RN7SL215P		
			RN7SL684P		RN7SL236P	RN7SL447P		
			MIR1271		FLJ45079	snoU13|ENSG00000238902.1		
			ARL10		LINC00338	RN7SKP222		
			RN7SKP148		LINC00868	RN7SKP296		
			snoU13|ENSG00000239026.1		MIR636	RN7SL486P		
			NSG2		SNORD1B	MIR944		
			RNA5SP200		SNHG16	MIR28		
			SNORA74B		PRCD	snoU13|ENSG00000239093.1		
			ATP6V0E1		snoU13|ENSG00000238418.1	RTP4		
			MIR5003		MYO15B	SNORA4|ENSG00000263776.1		
			SNORA57|ENSG00000212529.1		RN7SL573P	SNORA63|ENSG00000200320.1		
			C5orf50		MIR3615	SNORA81|ENSG00000221420.2		
			SNORA70|ENSG00000206909.1		CD300LD	SNORA63|ENSG00000200418.1		
			RN7SL339P		GPRC5C	SNORD2|ENSG00000238942.1		
			snoU13|ENSG00000252387.1		RNA5SP448	KNG1		
			RN7SL623P		LINC00469	CRYGS		
			MIR4454		SSTR2	RN7SL637P		
			KCNMB1		SCARNA24|ENSG00000252274.1	TRA2B		
			LCP2		RN7SKP180	MIR548AQ		
			C5orf58		LINC00511	SENP2		
			MIR378E		MAP2K6	snoU13|ENSG00000239146.1		
			MIR585		SNORA40|ENSG00000252352.1	SNORD66|ENSG00000212158.1		
			MIR103A1		FAM20A	MIR1224		
			PANK3		MIR635	CYP2AB1P		
			FBLL1		ARSG	SNORA4|ENSG00000251730.1		
			SNORA40|ENSG00000253065.1		LRRC37A16P	SNORA63|ENSG00000199363.1		
			RN7SKP60		LINC00674	SNORA81|ENSG00000253092.1		
			NUDCD2		RN7SL622P	SNORA63|ENSG00000201229.1		
			MIR3142		SNORA38B	LINC00888		
			RN7SL295P		MIR548D2	RNA5SP151		
			ADRA1B		RN7SL756P	DCUN1D1		
			RNU4ATAC2P		snoU13|ENSG00000238612.1	RN7SKP265		
			SNORA68|ENSG00000252458.1		PSMD12	RNA5SP150		
			LSM11		SNORA8|ENSG00000207410.1	RN7SL703P		
			THG1L		RNA5SP447	RN7SL229P		
			RNA5SP199		RNA5SP446	U8|ENSG00000201810.1		
			RN7SL439P		MIR634	RNA5SP149		
			RN7SL655P		RNA5SP445	snoU13|ENSG00000239096.1		
			MIR1294		RN7SL735P	GNB4		
			RN7SL177P		RNA5SP444	SNORA25|ENSG00000201957.1		
			RNA5SP198		SLC16A6P1	PIK3CA		
			RN7SKP232		RN7SL404P	RNA5SP148		
			RNA5SP197		RN7SL409P	SNORA18|ENSG00000200288.1		
			ZNF300P1		PLEKHM1P	RN7SKP52		
			snoU13|ENSG00000239191.1		SMURF2	LINC00578		
			snoU13|ENSG00000238369.1		MIR5047	LINC00501		
			MIR378A		MIR3064	RNA5SP147		
			RN7SL868P		SNORD104	snoU13|ENSG00000271842.1		
			U3|ENSG00000221043.1		SNORA76|ENSG00000266402.2	MIR4789		
			MIR143HG		TCAM1P	RN7SKP40		
			RN7SKP145		RN7SL805P	RN7SKP234		
			MIR584		ACE	snoU13|ENSG00000239141.1		
			SH3TC2		TLK2	SNORA72|ENSG00000200355.1		
			SPINK13		TBC1D3P2	RN7SL141P		
			RN7SL791P		RN7SL800P	PP13439		
			RNA5SP196		BRIP1	snoU13|ENSG00000238359.1		
			GPR151		snoU13|ENSG00000238799.1	MIR569		
			RN7SKP246		RN7SL448P	RNY5P3		
			KCTD16		RN7SL606P	CLDN11		
			RN7SL87P		PPM1D	TERC		
			RN7SL68P		RPL12P38	EGFEM1P		
			PCDHGB8P		SCARNA20|ENSG00000252577.1	RN7SKP298		
			PCDHB18		USP32	MIR720		
			PCDHB17		MIR4729	snoU13|ENSG00000238398.1		
			PCDHA14		PRR11	CT64		
			WDR55		MIR301A	SPTSSB		
			MIR3655		MIR454	PPM1L		
			SNORA27|ENSG00000200235.1		RN7SL716P	SNORA72|ENSG00000207084.1		
			SNORD45|ENSG00000200051.1		PPM1E	KRT8P12		
			CYSTM1		U3|ENSG00000212195.1	SCARNA7		
			PURA		DYNLL2	MIR15B		
			TMEM173		SRSF1	C3orf80		
			ECSCR		VEZF1	MIR3919		
			RN7SKP64		MRPS23	SHOX2		
			RNA5SP195		RN7SKP94	RN7SKP46		
			SNORA74A		RN7SL449P	RNA5SP146		
			SNORA74|ENSG00000252213.1		RN7SL437P	CCNL1		
			RNA5SP194		RNF126P1	LINC00881		
			RN7SL867P		RN7SKP14	LINC00880		
			snoU13|ENSG00000238745.1		snoZ178	RN7SKP177		
			SNORD63|ENSG00000206989.1		RN7SL699P	LINC00886		
			SNORD63|ENSG00000222937.1		snoU13|ENSG00000238815.1	snoU13|ENSG00000271922.1		
			RN7SL682P		snoU13|ENSG00000239135.1	U8|ENSG00000201398.1		
			snoU13|ENSG00000238605.1		HILS1	RN7SL300P		
			NPY6R		NXPH3	RAP2B		
			MIR874		ZNF652	SUCNR1		
			ADRB2		snoU13|ENSG00000238804.1	IGSF10		
			ANXA6		SNF8	P2RY12		
			ATOX1		SNORA68|ENSG00000212565.1	RNA5SP145		
			BNIP1		RN7SL125P	FAM188B2		
			CAMK2A		HOXB4	snoU13|ENSG00000243321.2		
			CANX		HOXB3	ANKUB1		
			CCNG1		HOXB2	TM4SF4		
			CD14		HOXB1	CPHL1P		
			CD74		U3|ENSG00000200538.1	U3|ENSG00000251800.1		
			CDC25C		MIR1203	AADAC		
